time,edr_raw,edr_debiased
2005-01-06 03:39:02,2.2538573613788705e-12,1.840908159910138e-12
2005-01-06 05:10:47,2.1498915331138113e-12,1.7559908333372297e-12
2005-01-06 06:42:47,2.091312086015152e-12,1.7081442464081563e-12
2005-01-06 08:14:47,2.0911348550610522e-12,1.7079994875093982e-12
2005-01-06 09:46:47,2.160935492151234e-12,1.7650113306668683e-12
2005-01-06 11:18:47,2.1367728820955844e-12,1.7452757667494786e-12
2005-01-06 12:50:47,2.0263477372253026e-12,1.6550825922681103e-12
2005-01-06 14:22:32,1.944004187408798e-12,1.5878259346948768e-12
2005-01-06 15:54:17,2.303011373061486e-12,1.8810562290601247e-12
2005-01-06 17:26:17,1.856488096994869e-12,1.5163444435734193e-12
2005-01-06 18:58:17,2.0273001183049776e-12,1.6558604791614696e-12
2005-01-06 20:30:02,2.055851711571077e-12,1.6791808817400258e-12
2005-01-06 22:01:47,2.0117037230420705e-12,1.6431216378325291e-12
2005-01-06 23:34:02,1.6844287059837605e-12,1.3758095799528842e-12
2005-01-07 01:06:02,2.342239107246983e-12,1.913096702070665e-12
2005-01-07 02:37:47,1.925715341775631e-12,1.5728879507131236e-12
2005-01-07 04:09:32,1.723429225471565e-12,1.4076644682861504e-12
2005-01-07 05:41:17,1.9837172070259e-12,1.6202627796880615e-12
2005-01-07 07:13:17,1.7467582909688006e-12,1.4267192087381659e-12
2005-01-07 08:45:17,1.9670976275835623e-12,1.606688220830017e-12
2005-01-07 10:17:17,2.1816162862496862e-12,1.7819030130162655e-12
2005-01-07 11:49:17,1.8063782883949143e-12,1.4754156975383302e-12
2005-01-07 13:21:17,1.9218985092050844e-12,1.5697704338974937e-12
2005-01-07 14:53:02,2.5402870791972516e-12,2.074858548168084e-12
2005-01-07 16:24:47,3.0190945664908028e-12,2.465939468144989e-12
2005-01-07 17:56:47,2.7106424546955332e-12,2.2140016040744625e-12
2005-01-07 19:28:47,2.8684720457456604e-12,2.342913835619455e-12
2005-01-07 21:00:32,3.2284403610936295e-12,2.6369291625821927e-12
2005-01-07 22:32:17,3.526417456553214e-12,2.880311230985261e-12
2005-01-08 00:04:32,4.997835681166752e-12,4.08213786950616e-12
2005-01-08 01:36:32,4.873983250349072e-12,3.980977541251188e-12
2005-01-08 03:08:17,5.0165280656261525e-12,4.0974054563859416e-12
2005-01-08 04:40:02,5.025978965693413e-12,4.105124773211596e-12
2005-01-08 06:11:47,5.051040705591349e-12,4.125594729416557e-12
2005-01-08 07:43:47,5.0182668203710896e-12,4.0988256384493175e-12
2005-01-08 09:15:47,4.697939356047783e-12,3.8371882105353636e-12
2005-01-08 10:47:47,4.212701576019683e-12,3.4408551487998518e-12
2005-01-08 12:19:47,4.110428407636813e-12,3.3573203548762886e-12
2005-01-08 13:51:47,3.752418500129388e-12,3.064904618480313e-12
2005-01-08 15:23:32,3.477942273242661e-12,2.8407176160393082e-12
2005-01-08 16:55:17,3.5933786541415546e-12,2.935003873541096e-12
2005-01-08 18:27:17,2.9698922748209587e-12,2.4257519648125326e-12
2005-01-08 19:59:17,2.7272416888985215e-12,2.227559545324944e-12
2005-01-08 21:31:17,2.482936971101091e-12,2.0280160621372197e-12
2005-01-08 23:03:17,2.368938674898599e-12,1.9349044050771513e-12
2005-01-09 00:35:17,3.0158021144165457e-12,2.463250255423069e-12
2005-01-09 02:07:02,2.5688451628715902e-12,2.0981842519896088e-12
2005-01-09 03:38:47,2.4715408072521407e-12,2.0187078905640325e-12
2005-01-09 05:10:32,2.1282636448957473e-12,1.7383255823836821e-12
2005-01-09 06:42:17,2.379163856503013e-12,1.9432561404507743e-12
2005-01-09 08:14:17,2.236184656486766e-12,1.826473428058405e-12
2005-01-09 09:46:17,2.2912678567236174e-12,1.8714643465289275e-12
2005-01-09 11:18:17,2.3962425435020513e-12,1.9572056896972476e-12
2005-01-09 12:50:17,2.1866904903267004e-12,1.786047527150341e-12
2005-01-09 14:22:02,2.0719186813898607e-12,1.6923040794859264e-12
2005-01-09 15:53:47,2.1995119809391585e-12,1.7965198787264164e-12
2005-01-09 17:25:47,2.1785202390790393e-12,1.7793742201132295e-12
2005-01-09 18:57:47,2.0278708205137694e-12,1.6563266179558078e-12
2005-01-09 20:29:47,2.050022692885233e-12,1.6744198492776724e-12
2005-01-09 22:01:47,2.1050895482195463e-12,1.7193974175402488e-12
2005-01-09 23:33:47,2.1311678257219878e-12,1.7406976624773441e-12
2005-01-10 01:05:32,2.0506320342250026e-12,1.6749175477850287e-12
2005-01-10 02:37:17,2.0228070642056087e-12,1.6521906373621706e-12
2005-01-10 04:09:02,2.0722691083036682e-12,1.6925903015761682e-12
2005-01-10 05:40:47,1.9645856985229783e-12,1.604636524576304e-12
2005-01-10 07:12:47,1.9077667769707128e-12,1.558227901690396e-12
2005-01-10 08:44:47,2.297020362595399e-12,1.8761628847686387e-12
2005-01-10 10:16:47,2.109754242246921e-12,1.7232074515937012e-12
2005-01-10 11:48:47,2.1491445498778475e-12,1.7553807115265219e-12
2005-01-10 13:20:47,2.1629115154873864e-12,1.7666253092380191e-12
2005-01-10 14:52:32,2.15446894126661e-12,1.7597295739355128e-12
2005-01-10 16:24:17,2.2831925671051963e-12,1.8648686023585447e-12
2005-01-10 17:56:17,2.1149672744843004e-12,1.727465357949317e-12
2005-01-10 19:28:17,2.3121896156905162e-12,1.8885528444355892e-12
2005-01-10 21:00:17,2.2084576031802848e-12,1.8038264941588536e-12
2005-01-10 22:32:17,2.1190776010619498e-12,1.7308225951313813e-12
2005-01-11 00:04:17,2.3455343598766335e-12,1.915788202233381e-12
