time,edr_raw,edr_debiased
2023-03-22 04:00:57,1.2934986575964672e-12,1.1253936708583594e-12
2023-03-22 05:35:27,1.346577089561635e-12,1.17157395179014e-12
2023-03-22 07:09:42,1.2820555346924661e-12,1.1154377130261754e-12
2023-03-22 08:43:57,1.3908445099529782e-12,1.2100883131627405e-12
2023-03-22 10:18:27,1.4232397311180416e-12,1.238273403770382e-12
2023-03-22 11:52:57,1.385084173031508e-12,1.2050765980941835e-12
2023-03-22 13:27:27,1.3306501116328868e-12,1.1577168673226385e-12
2023-03-22 15:01:57,1.3963121665888761e-12,1.2148453851058222e-12
2023-03-22 16:36:27,1.3992040160486937e-12,1.2173614055593736e-12
2023-03-22 18:10:57,1.3556129789670441e-12,1.1794355237273844e-12
2023-03-22 19:45:27,1.2468859953840392e-12,1.0848388587388015e-12
2023-03-22 21:19:42,1.2101390929111308e-12,1.052867637722226e-12
2023-03-22 22:53:57,1.2326250324227102e-12,1.0724312714848286e-12
2023-03-23 00:28:27,1.159030160522505e-12,1.0084008973072304e-12
2023-03-23 02:02:57,1.1494433795536314e-12,1.0000600284838152e-12
2023-03-23 03:37:27,1.1714498846199495e-12,1.01920653580634e-12
2023-03-23 05:11:57,1.1390141713836651e-12,9.909862155365692e-13
2023-03-23 06:46:27,1.1337565621272017e-12,9.864118929067608e-13
2023-03-23 08:20:42,1.1681483894185854e-12,1.0163341077739148e-12
2023-03-23 09:54:57,1.41902587020645e-12,1.2346071824164344e-12
2023-03-23 11:29:27,1.531036399713311e-12,1.3320606588744214e-12
2023-03-23 13:03:57,1.695425392280639e-12,1.4750854163471638e-12
2023-03-23 14:38:27,1.8638736252268174e-12,1.6216418693528105e-12
2023-03-23 16:12:57,1.8709087180393477e-12,1.6277626711631767e-12
2023-03-23 17:47:27,1.865333423025256e-12,1.6229119496837392e-12
2023-03-23 19:21:57,2.10225757821636e-12,1.8290450934327863e-12
2023-03-23 20:56:12,2.0738286947328567e-12,1.8043108694318478e-12
2023-03-23 22:30:27,2.2470091544414858e-12,1.954984542054424e-12
2023-03-24 00:04:57,2.340553746423978e-12,2.0363719413701237e-12
2023-03-24 01:39:27,2.3999500543172956e-12,2.088049017788356e-12
2023-03-24 03:13:57,2.358148637308705e-12,2.0516801743743297e-12
2023-03-24 04:48:27,2.4700464725864864e-12,2.1490356025108875e-12
2023-03-24 06:22:57,2.359715865341521e-12,2.053043723148474e-12
2023-03-24 07:57:12,2.2401924246499973e-12,1.9490537244859333e-12
2023-03-24 09:31:27,2.155361506381796e-12,1.8752475570411737e-12
2023-03-24 11:05:57,1.8831738550038144e-12,1.6384338129003242e-12
2023-03-24 12:40:27,1.8102339932871492e-12,1.5749733228200727e-12
2023-03-24 14:14:57,1.6907049766804391e-12,1.4709784728964787e-12
2023-03-24 15:49:27,1.6281711232547826e-12,1.4165716109748845e-12
2023-03-24 17:23:57,1.5498040522061142e-12,1.3483892396643821e-12
2023-03-24 18:58:27,1.4778841348448649e-12,1.2858161404719928e-12
2023-03-24 20:32:42,1.4325805266824353e-12,1.2464002558140352e-12
2023-03-24 22:06:57,1.4421007376437712e-12,1.2546832061659375e-12
2023-03-24 23:41:27,1.5156692295425612e-12,1.3186906287258778e-12
2023-03-25 01:15:57,1.4238287073213072e-12,1.2387858357605882e-12
2023-03-25 02:50:27,1.3751184821572518e-12,1.1964060630536148e-12
2023-03-25 04:24:57,1.3728212161875095e-12,1.194407353145844e-12
2023-03-25 05:59:27,1.4062103729801973e-12,1.2234572060460476e-12
2023-03-25 07:33:42,1.3182188881035845e-12,1.1469012238747373e-12
2023-03-25 09:07:57,1.4483592522790945e-12,1.2601283550404286e-12
2023-03-25 10:42:27,1.3684603548096352e-12,1.1906132357222745e-12
2023-03-25 12:16:57,1.364742679264695e-12,1.1873787147554305e-12
2023-03-25 13:51:27,1.3155329643924695e-12,1.1445643667569154e-12
2023-03-25 15:25:57,1.2956878783761416e-12,1.1272983772877695e-12
2023-03-25 17:00:27,1.3023804283618623e-12,1.133121153640571e-12
2023-03-25 18:34:57,1.2281658893016731e-12,1.0685516451578932e-12
2023-03-25 20:09:12,1.1698259354252242e-12,1.0177936374358575e-12
2023-03-25 21:43:27,1.133272720821403e-12,9.859909323282183e-13
2023-03-25 23:17:57,1.1843614640413364e-12,1.0304401073885588e-12
2023-03-26 00:52:27,1.1611918157109694e-12,1.01028162061018e-12
2023-03-26 02:26:57,1.130636997245021e-12,9.83697751261835e-13
2023-03-26 04:01:27,1.1538999178004826e-12,1.0039373884698426e-12
2023-03-26 05:35:57,1.1945600205149386e-12,1.0393132444729145e-12
2023-03-26 07:10:12,1.1252567723886487e-12,9.790167483357035e-13
2023-03-26 08:44:27,1.1659555509338058e-12,1.0144262538016726e-12
2023-03-26 10:18:57,1.1444685706315667e-12,9.957317530412845e-13
2023-03-26 11:53:27,1.1214835601134028e-12,9.757339082736525e-13
2023-03-26 13:27:57,1.0919978306650122e-12,9.500801875627858e-13
2023-03-26 15:02:27,1.121032264647319e-12,9.753412638296594e-13
2023-03-26 16:36:57,1.1484822782083738e-12,9.992238332820233e-13
2023-03-26 18:11:27,1.1393455244043064e-12,9.91274505431622e-13
2023-03-26 19:45:57,1.1366058070336308e-12,9.888908457573025e-13
2023-03-26 21:20:12,1.1644768656885932e-12,1.0131397406643137e-12
2023-03-26 22:54:27,1.2051678424382581e-12,1.0485424582675998e-12
2023-03-27 00:28:57,1.1188915699110788e-12,9.734787769277548e-13
