time,acc_effective,pod_raw,pod_debiased
2022-01-12 23:10:12,1.5090627512721156e-13,2.364502922146029e-13,2.0341168617348536e-13
2022-01-13 00:44:42,1.5763480230849476e-13,2.0495455563172667e-13,1.763167698357033e-13
2022-01-13 02:18:57,1.550112308092617e-13,1.8688613937761438e-13,1.6077300804835202e-13
2022-01-13 03:53:12,1.4903282051476657e-13,1.7518303947990093e-13,1.5070515293447444e-13
2022-01-13 05:27:27,1.5578179948718879e-13,1.7742700175609863e-13,1.5263557199226435e-13
2022-01-13 07:02:12,1.5515603424996943e-13,1.8438773598661694e-13,1.5862370029430156e-13
2022-01-13 08:37:12,1.556763483627778e-13,2.1499638120301246e-13,1.84955476316393e-13
2022-01-13 10:11:57,1.5296003694267614e-13,1.6964564335519862e-13,1.4594148327610106e-13
2022-01-13 11:46:12,1.5484488097941855e-13,1.8017022044546813e-13,1.5499548761732446e-13
2022-01-13 13:20:27,1.5415821251285275e-13,1.8826934870781604e-13,1.6196294500952883e-13
2022-01-13 14:55:12,1.5305868710788156e-13,1.9790197253712142e-13,1.7024962648089515e-13
2022-01-13 16:29:42,1.5977885850693774e-13,1.900413756740322e-13,1.634873710940429e-13
2022-01-13 18:03:57,1.6191810495537363e-13,1.821736499216301e-13,1.5671898291969399e-13
2022-01-13 19:38:12,1.5939716292711695e-13,1.8114010681250938e-13,1.558298541958926e-13
2022-01-13 21:12:27,1.5956283433432477e-13,1.9090600966625442e-13,1.6423119194803114e-13
2022-01-13 22:47:12,1.6711915639660645e-13,1.8089319780312013e-13,1.5561744516285277e-13
2022-01-14 00:21:57,1.633813857517912e-13,1.9824215344988258e-13,1.7054227476828227e-13
2022-01-14 01:56:12,1.5807377487820312e-13,1.9520739819862125e-13,1.6793155825361354e-13
2022-01-14 03:30:27,1.5873829560342714e-13,1.7699552685874945e-13,1.5226438599968512e-13
2022-01-14 05:04:57,1.5971297642188521e-13,1.81920609251988e-13,1.5650129898790315e-13
2022-01-14 06:39:27,1.7061358172808754e-13,1.886602696530937e-13,1.6229924355200343e-13
2022-01-14 08:14:12,1.771921412339983e-13,2.0368136716149862e-13,1.7522148079579518e-13
2022-01-14 09:49:12,1.8092453046059958e-13,2.0611721555092944e-13,1.7731697420168783e-13
2022-01-14 11:23:42,1.8049812277985538e-13,2.633124398188633e-13,2.2652045329424847e-13
2022-01-14 12:57:57,1.8185755207529818e-13,2.1945836651349785e-13,1.887939996152494e-13
