time,acc_effective,pod_raw,pod_debiased
2005-01-16 10:15:47,2.360203832506007e-12,3.018499727241825e-12,2.4502365900239033e-12
2005-01-16 11:47:47,2.424989950255263e-12,3.1326820208026068e-12,2.5429229106786754e-12
2005-01-16 13:19:32,2.4570581552232657e-12,3.211393880017304e-12,2.6068164654059077e-12
2005-01-16 14:51:17,2.490837014933178e-12,2.8555205078307583e-12,2.3179398588993236e-12
2005-01-16 16:23:17,2.570173440677609e-12,3.234409534486204e-12,2.6254991898779674e-12
2005-01-16 17:55:02,2.525021023656635e-12,3.247214617405088e-12,2.635893586280583e-12
2005-01-16 19:26:47,2.4064183315390477e-12,3.0225883464013627e-12,2.4535554852276893e-12
2005-01-16 20:58:47,2.4863867082030693e-12,3.0886658266787344e-12,2.507193210780887e-12
2005-01-16 22:30:47,2.6104498972919787e-12,3.258451674037934e-12,2.645015153222426e-12
2005-01-17 00:02:47,2.7412631340972934e-12,3.636043473622986e-12,2.9515214732616415e-12
2005-01-17 01:34:47,3.1384336506628076e-12,3.829518016431308e-12,3.1085724743761158e-12
2005-01-17 03:06:32,3.1086319599974194e-12,3.809336800175292e-12,3.0921905764234998e-12
2005-01-17 04:38:17,3.2091446788207243e-12,4.006683306462702e-12,3.252384604686884e-12
2005-01-17 06:10:17,3.2455245708325242e-12,4.015836291660797e-12,3.259814447743657e-12
2005-01-17 07:42:17,3.2478372583593742e-12,3.963725633047053e-12,3.2175141482560335e-12
2005-01-17 09:14:17,3.216819238737296e-12,4.150278408209151e-12,3.3689464745694602e-12
2005-01-17 10:46:17,3.511400837322176e-12,4.714405724465233e-12,3.826871111516728e-12
2005-01-17 12:18:02,4.224876408759227e-12,5.195524499337021e-12,4.217414405491286e-12
2005-01-17 13:49:47,4.735616528308901e-12,6.0779051323690596e-12,4.933677949884293e-12
2005-01-17 15:21:47,5.1301878176124244e-12,6.456619088697214e-12,5.2410951692974185e-12
2005-01-17 16:53:32,5.535020876484165e-12,7.139741494723015e-12,5.795612865490501e-12
2005-01-17 18:25:17,5.4150017896591705e-12,6.735569390991357e-12,5.467530252696908e-12
2005-01-17 19:57:17,4.912073532305278e-12,6.090264999563958e-12,4.943710946930958e-12
2005-01-17 21:29:17,4.576769860343145e-12,5.725403534710458e-12,4.647538347210148e-12
2005-01-17 23:01:17,4.225950844353771e-12,5.073384034099975e-12,4.118268119558103e-12
2005-01-18 00:33:17,4.425679775437939e-12,5.4136283319338145e-12,4.394457983209753e-12
2005-01-18 02:05:02,4.221614488919697e-12,5.196503131915246e-12,4.2182088005775984e-12
2005-01-18 03:36:47,3.947570869096679e-12,4.937580639650727e-12,4.008031089179754e-12
2005-01-18 05:08:47,3.880174008875556e-12,4.932188999395151e-12,4.003654479794889e-12
2005-01-18 06:40:47,3.881322659571369e-12,4.879322023635488e-12,3.960740247522091e-12
2005-01-18 08:12:47,4.187923518994762e-12,5.2844229933936186e-12,4.289576857907518e-12
2005-01-18 09:44:47,4.359865830908833e-12,5.194727316839939e-12,4.2167673006710835e-12
2005-01-18 11:16:32,4.012519403142587e-12,5.145203760809669e-12,4.176567055510106e-12
2005-01-18 12:48:17,3.9655727580588665e-12,4.938814689687667e-12,4.0090328168019704e-12
2005-01-18 14:20:17,4.011356533703234e-12,5.140457299077962e-12,4.172714163259291e-12
2005-01-18 15:52:02,4.245478660220914e-12,5.350193118821571e-12,4.342965091273795e-12
2005-01-18 17:23:47,3.7815434824660955e-12,4.68371377246799e-12,3.8019572302517395e-12
2005-01-18 18:55:47,3.723364372839011e-12,4.6711065013347495e-12,3.791723405563193e-12
2005-01-18 20:27:47,3.6273844235223323e-12,4.4296975416224595e-12,3.5957621268828222e-12
2005-01-18 21:59:47,3.933731905582847e-12,4.7974125049635034e-12,3.894251025108037e-12
2005-01-18 23:31:47,4.1628218457023545e-12,4.942912372187133e-12,4.012359069080173e-12
2005-01-19 01:03:32,3.924329658030143e-12,4.899646027154033e-12,3.977238051589284e-12
2005-01-19 02:35:17,4.147214565935662e-12,5.08204535330359e-12,4.125298857722179e-12
2005-01-19 04:07:17,4.205223688588641e-12,5.40419801279034e-12,4.38680301713094e-12
2005-01-19 05:39:02,4.621942563512865e-12,5.6511312056333874e-12,4.587248536120046e-12
2005-01-19 07:10:47,4.5668260536744906e-12,5.725308725753132e-12,4.6474613869990194e-12
2005-01-19 08:42:47,4.5826987549194636e-12,5.598422217295345e-12,4.5444625485370605e-12
2005-01-19 10:14:47,4.876277236058789e-12,6.1477529536432124e-12,4.990376211565358e-12
2005-01-19 11:46:47,4.848648313146795e-12,5.622629877162562e-12,4.564112871321654e-12
2005-01-19 13:18:47,4.477065469412504e-12,5.870622466960528e-12,4.765418345062081e-12
2005-01-19 14:50:32,4.256028407974878e-12,5.381694022927019e-12,4.368535631221642e-12
2005-01-19 16:22:17,4.0480416829096185e-12,5.055184312601375e-12,4.103494679911361e-12
