time,acc_effective,pod_raw,pod_debiased
2024-08-10 17:49:42,1.873423958758429e-12,2.2193729611647275e-12,1.9168566943951337e-12
2024-08-10 19:23:42,1.9206965818407297e-12,2.2655934357359447e-12,1.956776990645594e-12
2024-08-10 20:57:57,1.888643623714136e-12,2.240398499928535e-12,1.9350163031845988e-12
2024-08-10 22:32:12,1.8635515058680356e-12,2.208709494277716e-12,1.907646733633468e-12
2024-08-11 00:06:27,1.888840366713989e-12,2.0879926778382657e-12,1.8033844749833527e-12
2024-08-11 01:40:42,1.9418434206905143e-12,2.2541814021108256e-12,1.9469204980984865e-12
2024-08-11 03:14:42,2.064008150736718e-12,2.358973773030562e-12,2.037428926034644e-12
2024-08-11 04:48:42,2.0687134121146267e-12,2.373359815224642e-12,2.049854048701319e-12
2024-08-11 06:22:57,2.153824567617255e-12,2.3945346696188813e-12,2.0681426203423556e-12
2024-08-11 07:57:12,2.260396204275823e-12,2.570657158281639e-12,2.2202583653451983e-12
2024-08-11 09:31:27,2.2084179112471913e-12,2.5206047416984783e-12,2.1770284479419807e-12
2024-08-11 11:05:57,2.2126894115810714e-12,2.558294946745733e-12,2.209581210871939e-12
2024-08-11 12:40:12,2.240055597937288e-12,2.5604650658754764e-12,2.2114555273812747e-12
2024-08-11 14:14:12,2.313481384731317e-12,2.6909147794163018e-12,2.324124020265603e-12
2024-08-11 15:48:12,2.2088847149035664e-12,2.6152422495852507e-12,2.2587661926599437e-12
2024-08-11 17:22:27,2.137031518729975e-12,2.522648021551144e-12,2.1787932142668122e-12
2024-08-11 18:56:42,2.1879651273362965e-12,2.5889887383597116e-12,2.2360912211140876e-12
2024-08-11 20:30:42,2.2753937896011323e-12,2.701404616797685e-12,2.333184018454041e-12
2024-08-11 22:04:42,2.290671631592227e-12,2.712141734524446e-12,2.3424575909239198e-12
2024-08-11 23:38:57,2.3229715587047457e-12,2.6758365106156095e-12,2.311101026385688e-12
2024-08-12 01:13:27,2.6913856569910626e-12,3.1522434611707275e-12,2.7225703325399362e-12
2024-08-12 02:47:42,2.5475715313690454e-12,2.9991441421613114e-12,2.590339535965519e-12
2024-08-12 04:21:42,2.934734659377896e-12,3.3312065546877754e-12,2.8771394878196262e-12
2024-08-12 05:55:42,2.889699791151937e-12,3.3483702183677962e-12,2.8919636224743658e-12
2024-08-12 07:29:42,3.2450702502303865e-12,3.719987879673563e-12,3.2129271623093233e-12
2024-08-12 09:03:57,2.972334516956094e-12,3.430380933941866e-12,2.962795696177648e-12
2024-08-12 10:38:27,3.154939437621261e-12,3.566836957753906e-12,3.0806517966671213e-12
2024-08-12 12:12:42,3.0707998857678468e-12,3.8331189551789555e-12,3.3106376702866877e-12
2024-08-12 13:46:42,3.1344162769887807e-12,3.724058027995671e-12,3.2164425205636295e-12
2024-08-12 15:20:42,3.256783042948676e-12,3.797334569223156e-12,3.279730949796502e-12
2024-08-12 16:54:57,3.165579639491844e-12,3.7392238501944085e-12,3.2295411336928078e-12
2024-08-12 18:29:12,3.163501487446046e-12,3.734883466125674e-12,3.2257923747397235e-12
2024-08-12 20:03:12,3.057146812887382e-12,3.6932257544526866e-12,3.189812904461036e-12
2024-08-12 21:37:27,3.0472950137813994e-12,3.645601231133384e-12,3.148679941259541e-12
2024-08-12 23:11:42,2.9882912601971828e-12,3.4505192912615195e-12,2.980189052642638e-12
2024-08-13 00:45:57,2.852551894951115e-12,3.3030524295976584e-12,2.8528229695515532e-12
2024-08-13 02:20:12,2.781293427905629e-12,3.2379712497353164e-12,2.796612815836427e-12
2024-08-13 03:54:12,2.5656369163547196e-12,2.9247332575414336e-12,2.5260713823855e-12
2024-08-13 05:28:12,2.400248967679113e-12,2.7351682942831793e-12,2.362345467362341e-12
2024-08-13 07:02:12,2.2376137020701567e-12,2.5290884616957514e-12,2.1843557767662505e-12
2024-08-13 08:36:27,2.149990094703099e-12,2.418259434671044e-12,2.0886335317434403e-12
2024-08-13 10:10:57,2.0862452645781907e-12,2.3174950281333793e-12,2.0016040280916027e-12
2024-08-13 11:45:12,1.948636931210451e-12,2.0392530331451905e-12,1.7612883893559372e-12
2024-08-13 13:19:12,1.8486156674665707e-12,2.1230627955897784e-12,1.83367428708863e-12
2024-08-13 14:53:12,1.829483594953386e-12,2.1173094078018266e-12,1.828705126839422e-12
2024-08-13 16:27:27,1.779329375915772e-12,2.063590494937029e-12,1.782308482587941e-12
2024-08-13 18:01:42,1.757776264455629e-12,2.0616479883459693e-12,1.7806307534148214e-12
2024-08-13 19:35:42,1.7810866126642423e-12,2.1341055433884083e-12,1.8432118300851046e-12
2024-08-13 21:09:57,1.7486667609588672e-12,2.0893731233230418e-12,1.8045767559631805e-12
2024-08-13 22:44:12,1.8527968695468507e-12,2.2212021799302193e-12,1.9184365776763583e-12
2024-08-14 00:18:27,1.8388337864841337e-12,2.4777229287847675e-12,2.1399917300987985e-12
2024-08-14 01:52:42,1.920928934439254e-12,2.2150137624338187e-12,1.913091685351698e-12
2024-08-14 03:26:42,1.9396014535449835e-12,2.251517007128973e-12,1.9446192790393893e-12
2024-08-14 05:00:42,1.8813572752013474e-12,2.1000118140314715e-12,1.8137653177150324e-12
2024-08-14 06:34:42,1.829246726222084e-12,2.0315987109309967e-12,1.7546774055176756e-12
2024-08-14 08:08:57,1.8193031337076216e-12,2.005912826547951e-12,1.7324926892520228e-12
2024-08-14 09:43:12,1.8038335727346823e-12,2.0662877018274144e-12,1.7846380410598487e-12
2024-08-14 11:17:27,1.7585532755003062e-12,1.9552298423148284e-12,1.6887181550393511e-12
2024-08-14 12:51:57,1.6859470023334733e-12,1.901358805804411e-12,1.6421901226734862e-12
2024-08-14 14:26:12,1.6965270546539295e-12,1.9675873753735094e-12,1.6993912687449947e-12
2024-08-14 16:00:12,1.6813982848694644e-12,1.96108287487453e-12,1.6937733777715812e-12
2024-08-14 17:34:12,1.6429512872724176e-12,1.9400121395085314e-12,1.6755747329971824e-12
2024-08-14 19:08:12,1.637200271949098e-12,1.956877633978422e-12,1.6901413410187234e-12
2024-08-14 20:42:27,1.6441206412859786e-12,1.96398993785823e-12,1.696284187463707e-12
2024-08-14 22:16:42,1.6997392309723235e-12,2.0114900196028694e-12,1.7373096713592772e-12
2024-08-14 23:50:42,1.6694591436056905e-12,1.859479080843218e-12,1.6060189010915307e-12
2024-08-15 01:24:57,1.6635397306941367e-12,1.9329594117898626e-12,1.6694833420602659e-12
2024-08-15 02:59:12,1.6501519003104945e-12,1.8922088014823595e-12,1.6342873288009032e-12
2024-08-15 04:33:12,1.6382916130250638e-12,1.8543592548895573e-12,1.6015969437075577e-12
2024-08-15 06:07:12,1.6275555410096003e-12,1.7928357942195178e-12,1.5484595668397102e-12
2024-08-15 07:41:27,1.6075978385055155e-12,1.7929814738589259e-12,1.5485853893116079e-12
2024-08-15 09:15:42,1.618939118776554e-12,1.8021992962701834e-12,1.5565467571871052e-12
2024-08-15 10:49:57,1.6219740830864148e-12,1.834609680714839e-12,1.5845393764889347e-12
2024-08-15 12:24:27,1.619843134307928e-12,1.8151088599281962e-12,1.5676966558082883e-12
2024-08-15 13:58:42,1.6389979852021585e-12,1.893110581814691e-12,1.635066190081612e-12
2024-08-15 15:32:42,1.630421016754015e-12,1.903382679117014e-12,1.6439381277072298e-12
2024-08-15 17:06:42,1.583688458236626e-12,1.84165942461992e-12,1.5906281903272062e-12
2024-08-15 18:40:42,1.5850299991969908e-12,1.881222773064725e-12,1.6247987739317358e-12
2024-08-15 20:14:57,1.5975980064607744e-12,1.893766956316399e-12,1.6356330960859859e-12
2024-08-15 21:49:12,1.5992983829763546e-12,1.8979179986321827e-12,1.6392183219092075e-12
2024-08-15 23:23:12,1.6375782803147427e-12,1.7833818902947344e-12,1.540294297034459e-12
2024-08-16 00:57:27,1.6762885951831806e-12,2.03007912944945e-12,1.7533649537637111e-12
