time,edr_raw,edr_debiased
2024-09-10 16:01:27,1.9399797318436907e-12,1.6881510330833727e-12
2024-09-10 17:35:42,1.9146409449028906e-12,1.6661014731580541e-12
2024-09-10 19:09:42,1.845592826930728e-12,1.6060164888802076e-12
2024-09-10 20:43:57,1.887030210632206e-12,1.6420748873034952e-12
2024-09-10 22:18:12,1.804553398919585e-12,1.5703043875334994e-12
2024-09-10 23:52:12,1.8135536860592826e-12,1.5781363477254174e-12
2024-09-11 01:26:12,1.7847390538582387e-12,1.5530621418872562e-12
2024-09-11 03:00:12,1.7882201614352258e-12,1.5560913670156962e-12
2024-09-11 04:34:27,1.7568565234911875e-12,1.5287990417777605e-12
2024-09-11 06:08:42,1.8378548347278563e-12,1.5992829651650634e-12
2024-09-11 07:42:42,1.7861082343097008e-12,1.5542535890738804e-12
2024-09-11 09:16:57,1.7802944946297597e-12,1.549194530731326e-12
2024-09-11 10:51:12,1.8741067413703164e-12,1.6308290131186415e-12
2024-09-11 12:25:12,1.904328339030772e-12,1.6571275462808627e-12
2024-09-11 13:59:12,1.901656073093146e-12,1.6548021670878595e-12
2024-09-11 15:33:12,1.8770174887543513e-12,1.6333619164901285e-12
2024-09-11 17:07:27,1.931784276464011e-12,1.6810194294698408e-12
2024-09-11 18:41:42,2.0127209025137676e-12,1.7514496750221115e-12
2024-09-11 20:15:42,1.9727700407630477e-12,1.7166848331889688e-12
2024-09-11 21:49:57,1.9801666719402954e-12,1.7231213079408676e-12
2024-09-11 23:24:12,1.9390329549211735e-12,1.6873271572388928e-12
2024-09-12 00:58:12,1.982981495005524e-12,1.7255707389259e-12
2024-09-12 02:32:12,1.9246026154383156e-12,1.6747700196019037e-12
2024-09-12 04:06:12,1.9187476048961643e-12,1.6696750477662686e-12
2024-09-12 05:40:27,2.0053995898006083e-12,1.7450787416472044e-12
2024-09-12 07:14:42,2.2389358847012427e-12,1.948299698561168e-12
2024-09-12 08:48:42,2.327815755777847e-12,2.0256420767909093e-12
2024-09-12 10:22:57,2.536503853058946e-12,2.2072403797187855e-12
2024-09-12 11:57:12,2.619994922108684e-12,2.2798934761176845e-12
2024-09-12 13:31:12,3.083935852376757e-12,2.6836102510230494e-12
2024-09-12 15:05:12,3.169230592143427e-12,2.757832883708411e-12
2024-09-12 16:39:12,3.021542177087172e-12,2.629315896464056e-12
2024-09-12 18:13:27,3.1098532351007214e-12,2.7061632992338657e-12
2024-09-12 19:47:42,3.5007478568709378e-12,3.0463159043030892e-12
2024-09-12 21:21:57,3.4470197280696917e-12,2.99956222195649e-12
2024-09-12 22:56:12,3.0092056156842586e-12,2.6185807436502518e-12
2024-09-13 00:30:12,2.993983991135639e-12,2.605335037633242e-12
2024-09-13 02:04:12,2.9411348358598426e-12,2.5593462292905744e-12
2024-09-13 03:38:12,2.6762613551659204e-12,2.3288559655366943e-12
2024-09-13 05:12:27,2.500310087983287e-12,2.1757449259773266e-12
2024-09-13 06:46:42,2.4082360426958163e-12,2.0956230091753976e-12
2024-09-13 08:20:42,2.292952414733106e-12,1.9953043447850785e-12
2024-09-13 09:54:57,2.195688307249614e-12,1.910666087572905e-12
2024-09-13 11:29:12,2.213726239693098e-12,1.926362516658902e-12
2024-09-13 13:03:12,2.183380822499024e-12,1.8999562369722387e-12
2024-09-13 14:37:12,2.1487746635865904e-12,1.8698423022954308e-12
2024-09-13 16:11:12,2.1122252674340106e-12,1.8380373819342723e-12
2024-09-13 17:45:27,2.075426117911612e-12,1.806015128679189e-12
2024-09-13 19:19:42,1.9987180960436e-12,1.7392645723529128e-12
2024-09-13 20:53:42,2.09891869364985e-12,1.8264581340113145e-12
2024-09-13 22:27:57,2.1185108133599848e-12,1.8435070013711423e-12
2024-09-14 00:02:12,2.1449226731178536e-12,1.8664903385699927e-12
2024-09-14 01:36:12,2.054563216834217e-12,1.787860440035381e-12
2024-09-14 03:10:12,1.9728002324252114e-12,1.71671110567256e-12
2024-09-14 04:44:12,1.9710400208574004e-12,1.715179387104644e-12
2024-09-14 06:18:27,1.7948159800636418e-12,1.5618309826667364e-12
2024-09-14 07:52:42,1.7873247912519023e-12,1.555312224803456e-12
2024-09-14 09:26:42,1.7825167820575477e-12,1.5511283431085632e-12
2024-09-14 11:00:57,1.809556785141614e-12,1.5746582843711773e-12
2024-09-14 12:35:12,1.8115910825501843e-12,1.5764285097067859e-12
2024-09-14 14:09:12,1.8007531391600097e-12,1.5669974393557391e-12
2024-09-14 15:43:12,1.7380433346962443e-12,1.5124279923392218e-12
2024-09-14 17:17:12,1.745268198262184e-12,1.5187149966272185e-12
2024-09-14 18:51:27,1.7294718069275493e-12,1.5049691342798785e-12
2024-09-14 20:25:42,1.7122099425773745e-12,1.4899480319160932e-12
2024-09-14 21:59:42,1.6505476842114562e-12,1.4362901490763842e-12
2024-09-14 23:33:42,1.6441134395395123e-12,1.4306911334723755e-12
2024-09-15 01:07:57,1.6576813809759213e-12,1.4424978209221051e-12
2024-09-15 02:42:12,1.6201458443406227e-12,1.4098347709385892e-12
2024-09-15 04:16:12,1.665067864281047e-12,1.4489254650967948e-12
2024-09-15 05:50:12,1.6230033800125572e-12,1.4123213700083971e-12
2024-09-15 07:24:12,1.6936171868852348e-12,1.4737688011672631e-12
2024-09-15 08:58:27,1.5580699467660096e-12,1.3558169433808917e-12
2024-09-15 10:32:42,1.6337810159769534e-12,1.4216999614384226e-12
2024-09-15 12:06:42,1.7678105104115542e-12,1.5383310920525458e-12
2024-09-15 13:40:42,1.8207505491053555e-12,1.5843989862400173e-12
2024-09-15 15:14:57,1.754666897997091e-12,1.5268936514897849e-12
2024-09-15 16:49:12,1.6866647738100384e-12,1.4677188805816699e-12
2024-09-15 18:23:12,1.703850165566694e-12,1.482673437256532e-12
2024-09-15 19:57:27,1.7011742205881566e-12,1.4803448565987852e-12
2024-09-15 21:31:42,1.6849262140513667e-12,1.4662060032023328e-12
2024-09-15 23:05:42,1.6213660488697846e-12,1.410896580761994e-12
