time,edr_raw,edr_debiased
2022-08-06 07:47:27,2.738863955498159e-13,2.364006746765259e-13
2022-08-06 09:21:57,3.2269473118354607e-13,2.78528811236538e-13
2022-08-06 10:56:27,2.520041437810844e-13,2.1751335801669264e-13
2022-08-06 12:30:57,2.9367131273109793e-13,2.534777104332127e-13
2022-08-06 14:05:27,3.030268824197058e-13,2.615528212174863e-13
2022-08-06 15:39:57,2.847814454489657e-13,2.4580456325457313e-13
2022-08-06 17:14:27,2.6513393868340486e-13,2.2884613110694427e-13
2022-08-06 18:48:57,2.498846391707111e-13,2.156839414118028e-13
2022-08-06 20:23:27,2.88325149494717e-13,2.488632548905261e-13
2022-08-06 21:57:57,3.001637423751786e-13,2.590815475462955e-13
2022-08-06 23:32:27,2.5576968609375954e-13,2.207635258151056e-13
2022-08-07 01:06:57,2.346907303542579e-13,2.0256956131281083e-13
2022-08-07 02:41:12,2.7783579552648517e-13,2.3980953628565337e-13
2022-08-07 04:15:42,2.946706333820074e-13,2.5434025811696654e-13
2022-08-07 05:50:27,3.149957009282178e-13,2.7188351604741076e-13
2022-08-07 07:24:57,3.4455821000239935e-13,2.973999243240545e-13
2022-08-07 08:59:27,3.7708751402780733e-13,3.2547707435163077e-13
2022-08-07 10:33:57,3.9367126458218617e-13,3.397910741830291e-13
2022-08-07 12:08:12,4.134757243030777e-13,3.5688497777113667e-13
2022-08-07 13:42:27,4.4120550877866304e-13,3.808194990368003e-13
2022-08-07 15:16:57,4.392119644883797e-13,3.7909880307351794e-13
2022-08-07 16:51:27,4.373561337237066e-13,3.774969723437606e-13
2022-08-07 18:26:12,4.548134723547104e-13,3.9256499579246544e-13
2022-08-07 20:00:57,4.779719417896773e-13,4.1255385937917877e-13
2022-08-07 21:35:27,5.223386068464026e-13,4.508482388115797e-13
2022-08-07 23:09:42,5.04988374198252e-13,4.358726621839649e-13
2022-08-08 00:43:57,5.139777487658305e-13,4.436316974892035e-13
2022-08-08 02:18:27,4.947418665474973e-13,4.270285525053737e-13
2022-08-08 03:52:57,5.03391805524679e-13,4.344946093937108e-13
2022-08-08 05:27:27,5.178677789911071e-13,4.4698931504418063e-13
2022-08-08 07:01:57,5.666804723623348e-13,4.891212129158213e-13
2022-08-08 08:36:27,6.108593202481048e-13,5.272534809522161e-13
2022-08-08 10:10:57,5.680845755974148e-13,4.903331422320695e-13
2022-08-08 11:45:27,5.864245423948323e-13,5.061629921074206e-13
2022-08-08 13:19:57,5.614990145876207e-13,4.846489202658289e-13
2022-08-08 14:54:27,5.241879036664594e-13,4.5244442987123777e-13
2022-08-08 16:28:57,4.867045912328148e-13,4.2009130648722916e-13
2022-08-08 18:03:27,4.774938818888349e-13,4.121412295993459e-13
2022-08-08 19:38:12,4.977126736249374e-13,4.295927572590665e-13
2022-08-08 21:12:42,4.953788623424794e-13,4.2757836526769644e-13
2022-08-08 22:46:57,4.705236547609362e-13,4.061249892075001e-13
2022-08-09 00:21:27,3.9448635835911067e-13,3.4049460937835263e-13
2022-08-09 01:55:57,3.9267491610105243e-13,3.3893109188022025e-13
2022-08-09 03:30:27,4.2034482366785714e-13,3.628139313469217e-13
2022-08-09 05:04:57,4.152505723306432e-13,3.5841690954278416e-13
2022-08-09 06:39:27,4.0604603665827123e-13,3.5047216136109837e-13
2022-08-09 08:13:57,4.1501346367574707e-13,3.582122529884615e-13
2022-08-09 09:48:27,4.865604474518036e-13,4.1996689108129754e-13
2022-08-09 11:22:57,4.741094850971208e-13,4.092200414792563e-13
2022-08-09 12:57:27,4.644309263699433e-13,4.008661478570191e-13
2022-08-09 14:31:57,4.3217925256480476e-13,3.7302862992672367e-13
2022-08-09 16:06:27,4.2325560525221247e-13,3.653263260534797e-13
2022-08-09 17:40:57,4.1772526440307185e-13,3.605529005414038e-13
2022-08-09 19:15:27,4.416694602468171e-13,3.812199513479441e-13
2022-08-09 20:49:57,4.582311553630345e-13,3.9551491437960957e-13
2022-08-09 22:24:27,4.2703258353672043e-13,3.6858636462861175e-13
2022-08-09 23:58:57,3.7855994653223024e-13,3.2674798098707157e-13
2022-08-10 01:33:27,3.552000068947455e-13,3.0658522160788254e-13
2022-08-10 03:07:57,3.552307551077677e-13,3.0661176143761363e-13
2022-08-10 04:42:27,3.5062901589872376e-13,3.026398436228584e-13
2022-08-10 06:16:57,3.394841580989192e-13,2.930203373390257e-13
2022-08-10 07:51:27,3.3255234358737977e-13,2.870372521844277e-13
2022-08-10 09:25:57,4.071645972530297e-13,3.514376291008766e-13
