time,acc_effective,pod_raw,pod_debiased
2021-10-10 15:07:42,2.0002468634609112e-13,2.1223278518398838e-13,1.8433155405203937e-13
2021-10-10 16:42:42,1.9775123350173514e-13,2.2817797329905174e-13,1.9818050440320067e-13
2021-10-10 18:17:12,2.0821741642400926e-13,2.3440562940536796e-13,2.0358944029019738e-13
2021-10-10 19:51:12,2.289514485280439e-13,2.7450283686748887e-13,2.3841525929941516e-13
2021-10-10 21:25:42,2.3826564366599403e-13,2.8304481207365355e-13,2.458342618020743e-13
2021-10-10 23:00:12,2.2168825371639528e-13,2.770198792999235e-13,2.4060139817886955e-13
2021-10-11 00:34:27,2.1466804159836117e-13,2.367822766505173e-13,2.05653641067434e-13
2021-10-11 02:08:42,2.081548863575975e-13,2.438958153585604e-13,2.1183199679944862e-13
2021-10-11 03:42:57,2.1395252864388058e-13,2.205067842790651e-13,1.9151780998369701e-13
2021-10-11 05:17:27,2.0035232778611768e-13,2.466370810076758e-13,2.1421288133966163e-13
2021-10-11 06:52:12,2.0890497565792574e-13,2.302210419417368e-13,1.9995498056443392e-13
2021-10-11 08:26:42,2.0965625039263846e-13,2.4458641707582605e-13,2.1243180840567253e-13
2021-10-11 10:00:57,2.1765858012251788e-13,2.2954671598002026e-13,1.993693050178727e-13
2021-10-11 11:35:27,2.2424415830081133e-13,2.529205943125468e-13,2.1967033114596482e-13
2021-10-11 13:09:57,2.1654860670087942e-13,2.4905215348461547e-13,2.1631045576689573e-13
2021-10-11 14:44:27,2.172678371762198e-13,2.346789898104819e-13,2.0382686330779226e-13
2021-10-11 16:19:12,2.1947365477562756e-13,2.4400764056845666e-13,2.119291208828201e-13
2021-10-11 17:53:57,2.1269455354056443e-13,2.2675643663942114e-13,1.9694585038221852e-13
2021-10-11 19:28:12,2.1889208749049516e-13,2.621495704965238e-13,2.276860178874216e-13
2021-10-11 21:02:27,2.2693580074454887e-13,2.536421181848173e-13,2.2029699971908826e-13
2021-10-11 22:36:57,2.201794530216974e-13,2.6023413261204396e-13,2.2602239347788358e-13
2021-10-12 00:11:12,2.339398236728153e-13,2.623435301106624e-13,2.2785447855699487e-13
2021-10-12 01:45:27,2.3856573865784245e-13,2.852731766669772e-13,2.4776967393986346e-13
