satellite,storm_date,mean_drag_acc,pod_opt_window_min,pod_opt_r_native,pod_opt_r_matched,pod_opt_SD_pct_native,pod_opt_expl_var_pct,pod_opt_neg_frac,edr_opt_arc_min,edr_opt_r_native,edr_opt_r_matched,edr_opt_SD_pct_native,edr_opt_expl_var_pct,edr_opt_neg_frac
CHAMP,2001-04-11,1.3394617878043855e-06,30.0,0.8680256122239447,0.904599581338124,47.65972777164373,75.10066679656481,2.5641025641025643,45.0,0.8859600343761138,0.9714068533429886,37.015012073789656,74.84800302319819,0.0
CHAMP,2001-04-17,1.2586148909729492e-06,45.0,0.8549911430993842,0.923457712210195,46.16926239878549,69.67941699832272,1.0319634703196348,45.0,0.8557020962776598,0.9346598541280076,35.0041019511377,70.5074683070269,0.0
CHAMP,2001-04-26,1.2186251953026484e-06,75.0,0.8597313810653563,0.7153666166028287,35.62262536277147,72.56927563589117,0.4022595001711742,45.0,0.8589467464474556,0.9396289854434252,26.004338307935697,72.09070199160335,0.0
CHAMP,2001-06-07,1.184632576602478e-06,45.0,0.7736003332278065,0.7946225218965624,43.665806197650056,59.84144406297125,0.2502332683009585,45.0,0.8511131467305967,0.8776592885237633,43.454432524305055,68.62826801765709,0.7782101167315175
CHAMP,2001-08-15,1.0203072141308415e-06,30.0,0.8386645706292623,0.8391251040505989,79.9233621191452,65.81868993092898,2.221000084609527,45.0,0.8826693469079953,0.9649249885745212,41.24420100516786,76.01968494887943,0.0507528336998815
CHAMP,2001-09-21,0.8063965504194207,30.0,0.8648934683249689,0.9109102382561298,19.83795495059544,73.38156290949655,0.0,45.0,0.8623309868942463,0.948029537456119,18.544773724867845,74.11095901555342,0.0
CHAMP,2001-10-10,1.1804672641437383e-06,75.0,0.7677264927008853,0.7468796104663505,15.807136643590749,56.94735474466084,0.0,30.0,0.7658384290217098,0.7841150761333245,18.853748372112335,48.11229402581978,0.0
CHAMP,2001-10-19,1.3003058885025883e-06,30.0,0.8289754036519106,0.8653106834090084,15.97934036520745,66.28913030256841,0.0,30.0,0.7962554501563966,0.8375062055196962,15.112980906262363,61.59066797820172,0.0
CHAMP,2001-10-26,1.3645246434422094e-06,30.0,0.8660287878138476,0.8502840176005496,13.917298648863262,74.99580272621299,0.0,45.0,0.8362396468414544,0.9385546665796324,17.281122518855895,69.8874432214765,0.0
CHAMP,2001-11-04,1.3537250429702475e-06,30.0,0.9070301753759198,0.9411621274892426,17.25170763628652,81.89791249436989,0.0,30.0,0.904721790303563,0.9508346943646128,15.354304049895129,81.77325227730815,0.0
CHAMP,2001-11-22,1.3785484981941996e-06,30.0,0.7639253250261164,0.8289164703912335,14.461880810881045,56.33204010065389,0.8656091472743377,20.0,0.7164335608113388,0.7533987023895499,15.712601738089305,15.73724979959369,0.0
CHAMP,2002-02-26,1.338621194383274e-06,60.0,0.9261274681944738,0.8455120397753741,10.220093429204448,85.62800181433998,0.0,30.0,0.9137220463079904,0.9391601475947162,10.918459588538363,83.39440020585165,0.0
CHAMP,2002-03-22,1.4030349535483793e-06,60.0,0.9075354066614144,0.8420366660011204,16.62460080129884,80.7311810581244,0.0,30.0,0.9026324065498902,0.9420464126775192,15.555798991778037,81.3621744577943,0.0
CHAMP,2002-04-15,0.346994977086259,30.0,0.7657602738114501,0.8270034456109203,18.19636759055687,55.77269187996651,0.0,30.0,0.8552575365247128,0.9086896538106296,16.636942235140694,72.50159897062257,0.0
CHAMP,2002-05-09,1.4318959075979943e-06,30.0,0.9512372793080464,0.964851213733164,21.01813786581983,90.03576848213109,0.3731652707521353,30.0,0.947680588462694,0.9671802970609152,19.521696661383903,89.29202029706427,0.0
CHAMP,2002-05-21,1.3663180721049002e-06,30.0,0.9415588767436728,0.9651461501850308,33.042099420209766,88.11374728104482,0.1056996503780795,30.0,0.9416613602118828,0.9717475238023718,25.594832582966887,88.073406983818,0.0
CHAMP,2002-07-31,1.295809282044255e-06,60.0,0.8294400061330491,0.6509505385956297,26.223940007018022,54.90828946310923,0.0,30.0,0.8187240090910151,0.8573578908821105,23.96192520077367,58.4014038394722,0.0
CHAMP,2002-09-05,1.420296150204524e-06,30.0,0.8940873065132636,0.9223366802366614,22.924805162583905,79.29828949085704,0.0,30.0,0.8957232570513323,0.9451068239905592,23.439908283348633,80.15653597383036,0.0
CHAMP,2002-10-23,1.5202087729568632e-06,60.0,0.9312842752351788,0.8061527637761448,14.207209124198595,85.82753043626793,0.0,30.0,0.9284212996748912,0.9504689111879412,13.353298385045552,86.19609802597338,0.0
CHAMP,2003-05-27,9.828913101124747e-07,30.0,0.891963430413074,0.9519967048495565,36.22053310700088,79.27281838275603,0.0086363243803437,30.0,0.8896630379602037,0.9528591867594838,29.168473438540055,78.9152412992544,0.0
CHAMP,2003-08-05,9.424313682994162e-07,75.0,0.8089401104924845,0.6836754262164794,22.651417761367387,63.07183679692826,0.0,45.0,0.8238727054639753,0.9322357945267457,21.518468947035196,67.57562818850393,0.0
CHAMP,2003-10-27,1.5252827141872665e-06,30.0,0.8387874647453663,0.9372659908139084,25.87877752618573,69.34357746773574,0.0,30.0,0.8650301619292575,0.9628791608788224,26.434298125597856,74.73180450622516,0.0
CHAMP,2003-11-18,1.2035179577104298e-06,30.0,0.9349615883083204,0.975256780514968,29.42379733918341,87.04482418479873,0.0418795544015411,30.0,0.951339546796485,0.987945906644766,25.583311887750604,90.23540547760862,0.0
CHAMP,2004-07-23,1.2248386938335564e-06,30.0,0.9045020083898192,0.9666996280836572,25.683446297662904,81.81207680982689,0.0,30.0,0.8993717666469088,0.9577815108978688,26.511052583565252,80.87483197689768,0.0683702247671139
CHAMP,2004-11-05,1.364015722405893e-06,30.0,0.926756519195578,0.9731020956239924,21.11228354437833,85.84447055919779,0.0,30.0,0.9465756115575572,0.974562265115156,21.76970114715819,89.6002499529677,0.0113365831538374
CHAMP,2005-01-05,1.2105975150042194e-06,45.0,0.8522354496994695,0.9583509401653196,21.705240710438332,72.22823464781001,0.0,45.0,0.6982519312713722,0.9034528056455444,21.420859352055956,47.29110410136631,0.0
CHAMP,2005-01-16,1.3004738152345469e-06,30.0,0.825161705709145,0.8954138226332524,21.601807078347424,66.03786389527848,0.0,30.0,0.7313078846188482,0.861963081965776,21.367273295122935,51.18002894438776,0.0
CHAMP,2005-08-23,1.4596887865991631e-06,30.0,0.9155299239955148,0.9514518982922934,33.92478631713389,83.60551816402628,0.004930966469428,30.0,0.912349340349664,0.9594533216043638,22.1288622008051,83.11125399266277,0.0
GRACE-FO-A,2019-05-12,1.5084229381370736e-07,45.0,0.4100582334718475,0.4108995567437115,167.02769945157394,-181.8013878172727,27.49276115524538,90.0,0.2831816386866044,0.32066155427958,135.7806062564308,-70.68693795796057,6.674725844054918
GRACE-FO-A,2019-08-29,1.9567161289901557e-07,135.0,0.2762058729881702,0.2604292135053302,174.5381751017246,-29.85195577282984,16.055655807769018,,,,,,
GRACE-FO-A,2019-11-30,9.808200475810745e-08,100.0,0.242049282566326,-0.0932679091976539,180.9361352691756,-346.96407893629157,39.49405794587092,90.0,0.0712533212039594,-0.0456762668398392,149.80868633971508,-193.6534517315427,9.713703647515224
GRACE-FO-A,2020-09-22,1.198076310530893e-07,180.0,0.1360728985011286,0.2635179537130809,100.7931298875104,-200.55079124065503,1.7110746306351812,90.0,0.2214724935630794,0.4069995632375569,130.39803101372925,-247.46370356037275,3.275485576370532
GRACE-FO-A,2021-02-27,7.946889920669409e-08,20.0,0.3087092605098578,0.3972870745235794,165.1300609504193,-505.50284044360455,30.962680548427304,100.0,0.2281368044363587,0.438357496014187,50.135409776633466,-23.942017429482387,0.0
GRACE-FO-A,2021-03-18,1.0461421319139197e-07,180.0,0.4264883080641577,0.6564758795791158,64.842181054046,5.941650929721554,0.0039685689340423,45.0,0.5522274256198505,0.6870842960308382,98.77504252054088,9.982136715448542,2.87794335115459
GRACE-FO-A,2021-05-10,1.238287983827779e-07,45.0,0.3295668539753866,0.3946548564130735,168.06905939887903,-22.56314506197743,12.43962308971415,100.0,0.2791884143931325,0.5820779616122241,156.09470354951708,-12.23927175024928,2.828475045411297
GRACE-FO-A,2021-10-10,1.270809673746516e-07,45.0,0.7109301739170956,0.7909214910295616,111.16811367196328,47.65054000690208,6.338585794599731,45.0,0.7434113910979373,0.836032015410217,90.76317962255452,54.83366737807751,2.4229325446479355
GRACE-FO-A,2021-11-01,7.827520610751033e-07,45.0,0.8216705640746149,0.9057902804084532,91.36823110205545,67.40066203688517,5.745262944573918,45.0,0.8172394648061593,0.8938772598998374,96.9018573958942,65.97608409306349,9.229606212631436
GRACE-FO-A,2022-01-12,1.2764662681395493e-07,90.0,0.6335349658011663,0.902841868995162,48.44782872175493,39.269451633963634,0.0,90.0,0.6742417476543854,0.935656000351442,46.90493740876818,45.454100467714234,0.0
GRACE-FO-A,2022-03-11,1.2005893864986124e-07,30.0,0.8680524994756855,0.9035289584611826,64.91165236235477,75.0986739800839,0.4274980568270144,45.0,0.8607970254926914,0.9454107640358492,44.26661669717211,66.99584763972763,0.0
GRACE-FO-A,2022-04-08,0.3612687808943265,45.0,0.8012609139065701,0.8922573215409337,38.94461363902635,64.17169653819028,0.0705323335065706,45.0,0.7434972787321915,0.8360958203978247,41.314060812079866,53.71452223371449,0.107508628982063
