satellite,storm_date,mean_drag_acc,log_drag,drag_tercile,method,window_min,r_native,sigma,beta,SD_pct_native,expl_var_pct,n_valid,r_matched
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,2.0,0.5758839095540126,0.909012048767518,-0.033470894842804,148.32456798401097,-26.6193592718593,1014,0.5760013015954082
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,3.0,0.7287771960636732,0.6864543397456938,-0.0338067351055577,98.641065496153,33.090877613157154,1078,0.7282041563321737
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,5.0,0.8773035418070122,0.5403506945235784,-0.0535920802351348,71.89590711539509,73.86863795636816,1122,0.8775291175353931
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,7.0,0.9249871749656536,0.5903840800043701,-0.0777315020008711,80.9274109813867,84.03735671089636,1149,0.9267891632973184
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,10.0,0.945655048009734,0.4608571803896018,-0.0793881225702008,59.46375350757806,89.01571448003371,1155,0.9478723220743944
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,15.0,0.963767371175148,0.3964144993092532,-0.0781287313772742,50.5653630495013,92.85352761068934,1161,0.9673418967028878
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,20.0,0.9723217608248832,0.2713417921821364,-0.0542836439367923,35.171918042187755,94.49264089094112,1157,0.977905293838143
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,30.0,0.9733412345599444,0.1469559806549638,-0.0447981366528767,25.60582850341373,92.88125308369108,1141,0.9884203142801068
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,45.0,0.9372659830496092,0.0747138284995686,-0.1512222845747612,34.187842975455965,74.01582508673607,1111,0.9920778837154696
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,60.0,0.8678236310448522,0.0511411758918614,-0.3002121292124601,53.29966478235104,45.99179971449108,1081,0.9901856367113177
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,75.0,0.7923333465181479,0.0410401147129743,-0.3837998644056012,74.75113418038899,22.733428397875443,1051,0.9720101309642888
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,90.0,0.555590929424279,0.026200859556069,-0.3199188315203872,96.60237518873636,4.064313970807298,1021,0.6804984921378656
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,100.0,-0.7200886917270171,0.0206724743819367,-0.2894424452909756,109.54734543507472,-8.261706870688101,1001,0.9124090711132672
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,120.0,-0.8378549660234249,0.0235525049156094,-0.3301345970776925,127.46725678148296,-25.7652523976029,961,0.9859792475600706
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,135.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,150.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,180.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,210.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,240.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,EDR,270.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,2.0,0.5713292924538499,0.8857615873614546,-0.0354248049838036,142.5430105171114,-27.605232228974575,2036,0.5713873172393573
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,3.0,0.7341737892414495,0.6919431466784494,-0.0299019619474843,99.725822636242,33.56546207607658,2161,0.7336657680043255
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,5.0,0.8837616775857188,0.5522019838511977,-0.0433930894530487,73.85733903112646,74.83750031148378,2248,0.8838788056901684
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,7.0,0.930765604128566,0.5071707324963999,-0.0689171788430322,66.594473244492,85.16869451995252,2307,0.9324325377962216
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,10.0,0.9515795919401562,0.4733682488219303,-0.0743777347547742,61.263903021736056,90.12734731630346,2318,0.9535631261925486
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,15.0,0.9700458612736874,0.3128010320942745,-0.0576510574718173,38.47406915351552,94.09187073418136,2322,0.9731092272765662
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,20.0,0.9776868165833714,0.241466988025715,-0.0393680214660575,31.111833945348938,95.50966322046362,2315,0.9825722405620836
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,30.0,0.976840412388562,0.125098793296816,-0.0335383628482814,23.633258307261578,93.37679078749406,2280,0.9909006983665488
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,45.0,0.9374843838765006,0.0709864076346232,-0.1476477857795914,34.42128196632899,73.90535224303967,2220,0.9926800598739072
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,60.0,0.8656495148803396,0.0463228712804663,-0.300506249712445,53.54355499886745,45.74267944976115,2160,0.9919622329935176
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,75.0,0.7906425100749158,0.0366172000610526,-0.3879607780773815,74.93029623097198,22.488755951773932,2100,0.9776399543951156
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,90.0,0.573340047736268,0.0252067404165078,-0.3104160269095505,96.60977050020962,4.153801369497822,2040,0.6944316236365616
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,100.0,-0.7090900538424315,0.0201091767689474,-0.2877663019398767,109.4238682876714,-8.09202230775956,2000,0.9145609688879892
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,120.0,-0.835494019646959,0.0211977487546882,-0.3284311144580109,127.09263163249136,-25.48888679057759,1920,0.9883431929509106
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,135.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,150.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,180.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,210.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,240.0,,,,,,0,
CHAMP,2001-03-31,1.3898736168582797e-06,-5.857024688952004,high,POD,270.0,,,,,,0,
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,2.0,0.4585496406036958,1.0068539911564514,-0.115385150514404,173.72127246244924,-108.36568136485069,2331,0.4590836955874319
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,3.0,0.5599248883994377,0.9181613369472412,-0.1346250482092257,150.91714443294117,-36.20645007985752,2464,0.5617150391550443
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,5.0,0.7153612208599868,0.7842943827360979,-0.0979912024190962,119.3412238597888,24.727608837540497,2588,0.7176714017852901
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,7.0,0.7723977380812235,0.7661147872590576,-0.1203325680830933,115.4111104379126,42.03873081019949,2623,0.774636779124942
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,10.0,0.8071097837320954,0.7216213076750968,-0.1190373556591797,106.16433974451454,52.810551220366186,2669,0.808593212521024
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,15.0,0.8469964525615854,0.633709256083289,-0.1217655404657544,89.01092887388629,64.72862575145835,2747,0.8476572958773197
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,20.0,0.8756008594598735,0.5670404191544403,-0.1028980703147233,77.96394900081114,73.26821882575754,2795,0.8764852548021557
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,30.0,0.9193227692711252,0.3234925933668546,-0.0585183032641299,43.16267056577101,84.49279387191714,2851,0.9297886551702472
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,45.0,0.9218634511322316,0.1023630734460471,-0.1204015155461979,31.15046589350503,74.1768784174451,2836,0.982777340238554
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,60.0,0.8013369405720628,0.114486080481143,-0.2175199171671073,46.90144169077397,46.87548053462319,2821,0.946255754033663
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,75.0,0.6534989114547771,0.0936799233937203,-0.3651668652909444,63.64310598085861,21.80946889627542,2806,0.8586484216879298
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,90.0,0.3381589358828043,0.0481911595339019,-0.3669070599843241,79.50182728650115,4.213810413993924,2791,0.6253303267801289
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,100.0,-0.3783670036158599,0.0456836315864047,-0.337030834621319,89.17204783318758,-7.139928036935328,2781,0.7698136804826613
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,120.0,-0.6840753467124431,0.0556163487152256,-0.3259185472818322,103.322956128755,-25.139700714902705,2761,0.9161110056365906
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,135.0,-0.8304511452889664,0.0338839460425566,-0.3756203476813735,107.40158255811548,-28.769647535135956,2746,0.9719685950381696
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,150.0,-0.8678778789040684,0.0374597944862261,-0.4083053077461442,105.13747648964416,-25.58501101527564,2731,0.9558807092120398
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,180.0,-0.3801506545505913,0.0322435042047473,-0.3768741589865216,87.24476136548553,-4.760683810928112,2701,0.7810157465916335
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,210.0,0.8163503947165205,0.0328802740400751,-0.3023642410891179,72.87225171576131,14.891493973598347,2671,0.9083962555430776
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,240.0,0.7888478059544969,0.0224671950458387,-0.340528777493961,71.46716479814957,14.528369807718931,2641,0.966663497016662
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,EDR,270.0,0.3998422771437807,0.0243263051810825,-0.3766829655553837,79.53851310076736,3.993978812159771,2581,0.8537898742780394
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,2.0,0.4377021327192567,1.002709963628339,-0.1098313453372101,172.61719805404434,-120.57055546772814,4681,0.4382903099645649
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,3.0,0.5413725400739675,0.935216575252504,-0.1299672852275294,155.19872131741312,-45.60747506577927,4953,0.5429737145196921
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,5.0,0.69331917666136,0.7854174158219928,-0.0946905912704064,119.56336514295104,19.82790638296959,5171,0.6953942588731917
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,7.0,0.7529618185058601,0.7947112333897484,-0.1219697334253845,121.67543879551155,37.85228224421363,5250,0.755201614432932
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,10.0,0.79101476045126,0.7480703917339449,-0.1184369941763264,111.633113510195,48.576586164786896,5367,0.7931376042084287
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,15.0,0.8331752135000708,0.6658238343571059,-0.1170517433682422,95.28985876384256,61.92372676297381,5503,0.8345965599052978
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,20.0,0.8633182775224572,0.5966650639417632,-0.0981901234537695,83.36928049173748,70.89181413075418,5607,0.8648297696339354
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,30.0,0.9108907068820866,0.3191188208410085,-0.046754802889924,42.91524275355152,82.92994803334568,5702,0.921262010639322
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,45.0,0.9164772691204618,0.1069320430394482,-0.1243556908245632,32.27759695769479,72.36404089827313,5672,0.9762506006832856
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,60.0,0.7938014793817342,0.1195010837078617,-0.2170587836309402,47.86178699495072,45.65120767346591,5642,0.9351125090883616
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,75.0,0.641754781076721,0.0972883568644454,-0.3760665164963219,64.23245026299256,20.927825913606092,5612,0.8342825869699969
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,90.0,0.3199751550893784,0.0548655602610396,-0.3631790405727573,79.71240225787051,3.9711531346246054,5582,0.4905681546571845
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,100.0,-0.3859947658650076,0.0521935338648563,-0.3364435648503834,89.1357660816199,-7.0963742637806915,5562,0.6835185942386568
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,120.0,-0.6863859222697235,0.0597375052118769,-0.3259442059865184,102.86373715462464,-24.552177157649417,5522,0.8951292227382653
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,135.0,-0.8372859997457665,0.0391004567059751,-0.3770400230907471,106.81642972372774,-28.03164191379368,5492,0.9573816139255332
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,150.0,-0.881058073807936,0.0414171252703199,-0.4078662441830142,104.66031350528648,-25.022714548565062,5462,0.9409508210807744
CHAMP,2001-04-08,1.3424392940125385e-06,-5.872105344266372,high,POD,180.0,-0.4122792434515314,0.036459320208385,-0.3736126592632631,87.22921778255079,-4.744055094959165,5402,0.6979453114921692
