time,acc_effective,pod_raw,pod_debiased
2025-04-14 18:10:27,1.4605180861385613e-12,1.8783847907377928e-12,1.6692380801264993e-12
2025-04-14 19:44:27,1.4081404077971914e-12,2.0141842515822077e-12,1.7899170977696889e-12
2025-04-14 21:18:12,1.3740790047199444e-12,2.0062457118952544e-12,1.782862466146073e-12
2025-04-14 22:52:12,1.4216133876780924e-12,1.9918091390568283e-12,1.7700333178015766e-12
2025-04-15 00:25:57,1.4198718044814328e-12,1.9017143427926954e-12,1.6899700285932675e-12
2025-04-15 01:59:42,1.3982238153789697e-12,1.6937883763556833e-12,1.5051953526401899e-12
2025-04-15 03:33:57,1.4240720838689358e-12,1.5438943431698522e-12,1.371991107476313e-12
2025-04-15 05:08:12,1.490294315035433e-12,1.43319043407634e-12,1.2736134046813653e-12
2025-04-15 06:42:12,1.463755821811891e-12,1.2893830308839906e-12,1.145818080317347e-12
2025-04-15 08:15:57,1.4505072800537428e-12,1.2244961168581382e-12,1.0881559291287696e-12
2025-04-15 09:49:42,1.4287383109336552e-12,1.1731787098541949e-12,1.0425524029680373e-12
2025-04-15 11:23:42,1.389155292890036e-12,1.2212043364632355e-12,1.0852306684400759e-12
2025-04-15 12:57:42,1.3725582927967454e-12,1.347562447183044e-12,1.1975195728149344e-12
2025-04-15 14:31:27,1.336732065790173e-12,1.4724540603703744e-12,1.3085052652293391e-12
2025-04-15 16:05:12,1.3304201476259066e-12,1.6101071025323594e-12,1.430831479195218e-12
2025-04-15 17:39:27,1.3451820808146087e-12,1.8255624271654736e-12,1.6222971651489193e-12
2025-04-15 19:13:42,1.4875127938885798e-12,2.0943893828913943e-12,1.8611918760062898e-12
2025-04-15 20:47:27,1.4850894033878666e-12,2.123378444539245e-12,1.8869531821286207e-12
2025-04-15 22:21:12,1.6464567295489394e-12,2.307519244684151e-12,2.050591025249204e-12
2025-04-15 23:54:57,1.8777400902583877e-12,2.4186660343934246e-12,2.1493622965996598e-12
2025-04-16 01:28:42,1.6960564645544399e-12,2.104234800133934e-12,1.8699410659789825e-12
2025-04-16 03:02:42,1.7061055051354673e-12,1.901539536197936e-12,1.6898146856485904e-12
2025-04-16 04:36:57,1.7620423047754877e-12,1.8074979333095807e-12,1.6062440427050224e-12
2025-04-16 06:11:12,1.6815797614604105e-12,1.557458943601507e-12,1.384045372232857e-12
2025-04-16 07:44:57,1.6688253041761243e-12,1.4953302960257714e-12,1.3288343713178406e-12
2025-04-16 09:18:42,1.6920534920837455e-12,1.478525615307412e-12,1.31390078948851e-12
2025-04-16 10:52:42,1.6206596496253858e-12,1.3786747567300955e-12,1.2251677161094842e-12
2025-04-16 12:26:27,1.6615821708668843e-12,1.5077281392669095e-12,1.3398517901936707e-12
2025-04-16 14:00:12,1.8973721805677705e-12,2.0452193895614335e-12,1.8174966620806604e-12
2025-04-16 15:34:12,2.0206220655507103e-12,2.3682556995788776e-12,2.1045648456624014e-12
2025-04-16 17:08:12,2.079213028510991e-12,2.5373651882977783e-12,2.2548450223717945e-12
2025-04-16 18:42:27,2.121372797409802e-12,2.885819279857562e-12,2.564500872267712e-12
2025-04-16 20:16:27,2.3480378683847864e-12,3.10925555725723e-12,2.7630588804864324e-12
2025-04-16 21:50:12,2.186904967157189e-12,2.867973166308357e-12,2.5486418148128796e-12
2025-04-16 23:23:57,1.837776854571502e-12,2.634172563629493e-12,2.3408734858355162e-12
2025-04-17 00:57:42,1.7282970493609938e-12,2.212389811517954e-12,1.9660536753063874e-12
2025-04-17 02:31:42,1.6157090316529925e-12,1.844339596709038e-12,1.6389836111815228e-12
2025-04-17 04:05:42,1.5793161986021752e-12,1.6463341837278536e-12,1.4630248954545147e-12
2025-04-17 05:39:42,1.5548109985695518e-12,1.424521679949085e-12,1.26590986354974e-12
2025-04-17 07:13:42,1.4909208598984341e-12,1.3148014373562186e-12,1.1684063019792735e-12
2025-04-17 08:47:42,1.4555609408280463e-12,1.2017537837810515e-12,1.0679458163816988e-12
2025-04-17 10:21:42,1.3983070703079156e-12,1.2204314389355854e-12,1.0845438283466344e-12
2025-04-17 11:55:27,1.3478957500876708e-12,1.211780073375134e-12,1.0768557396707631e-12
2025-04-17 13:29:12,1.3063520007581958e-12,1.3398596399514288e-12,1.1906744262729229e-12
2025-04-17 15:03:12,1.2661057172669042e-12,1.4641592994096712e-12,1.3011340754020866e-12
2025-04-17 16:37:12,1.254501429782115e-12,1.6021077974686806e-12,1.423722848049628e-12
2025-04-17 18:11:12,1.2907490000523575e-12,1.8052523949001892e-12,1.6042485313264028e-12
2025-04-17 19:45:12,1.2688790630758985e-12,1.8731953681315424e-12,1.6646264681336126e-12
2025-04-17 21:18:57,1.2136692796044526e-12,1.800597241865094e-12,1.600111701240622e-12
2025-04-17 22:52:42,1.2333733403858788e-12,1.7381279928573447e-12,1.5445980227894236e-12
2025-04-18 00:26:42,1.2599370435821182e-12,1.6720767479686894e-12,1.4859011818910268e-12
2025-04-18 02:00:42,1.2624816059627825e-12,1.5071981578008472e-12,1.339380818937262e-12
2025-04-18 03:34:42,1.3874717448306959e-12,1.4680805705271338e-12,1.3046187368538e-12
2025-04-18 05:08:42,1.4885408761993977e-12,1.3884678754306612e-12,1.2338704306644518e-12
2025-04-18 06:42:42,1.4625366361960613e-12,1.2846843707663735e-12,1.1416425873978065e-12
2025-04-18 08:16:42,1.4558920087161315e-12,1.2316124920897678e-12,1.0944799393037238e-12
2025-04-18 09:50:42,1.4857350773819606e-12,1.1449682609142686e-12,1.0174830157688931e-12
2025-04-18 11:24:27,1.4425004409671958e-12,1.2761856035234323e-12,1.1340901061458279e-12
2025-04-18 12:58:12,1.3942508539786022e-12,1.3932546585327535e-12,1.2381242346106496e-12
2025-04-18 14:32:12,1.3825136162434473e-12,1.5493229805194646e-12,1.3768152991072571e-12
2025-04-18 16:06:12,1.3726468556553313e-12,1.7043778630589833e-12,1.5146057644691734e-12
