time,edr_raw,edr_debiased
2001-08-15 22:11:17,2.0663932604780534e-12,1.7023706881271072e-12
2001-08-15 23:44:17,2.2526180794083466e-12,1.8557895359389545e-12
2001-08-16 01:17:17,2.216228723165391e-12,1.825810647305969e-12
2001-08-16 02:50:17,2.3971867802466054e-12,1.974890543203531e-12
2001-08-16 04:23:17,2.1505365264236177e-12,1.7716910020715467e-12
2001-08-16 05:56:32,2.30984800477904e-12,1.902937651110522e-12
2001-08-16 07:29:47,2.396384876420953e-12,1.974229905369679e-12
2001-08-16 09:02:47,2.2399758387707566e-12,1.845374393620544e-12
2001-08-16 10:35:47,2.3079442797223745e-12,1.901369292465193e-12
2001-08-16 12:08:47,2.3282015107514082e-12,1.918057943645979e-12
2001-08-16 13:42:02,2.2939749555275704e-12,1.8898608499547497e-12
2001-08-16 15:15:17,2.171435193512071e-12,1.7889080918447096e-12
2001-08-16 16:48:17,2.3836952535508946e-12,1.963775727827319e-12
2001-08-16 18:21:17,2.000781905210274e-12,1.64831764306911e-12
2001-08-16 19:54:17,2.1483184133786918e-12,1.7698636390507435e-12
2001-08-16 21:27:32,1.991707297228912e-12,1.640841647609204e-12
2001-08-16 23:00:47,1.8287179342154446e-12,1.5065650220619234e-12
2001-08-17 00:33:47,2.7636332912622395e-12,2.276782642374984e-12
2001-08-17 02:06:47,2.1139653766435787e-12,1.741562345243542e-12
2001-08-17 03:39:47,2.264950189475334e-12,1.8659491812989764e-12
2001-08-17 05:13:02,2.074376538388101e-12,1.7089476057783454e-12
2001-08-17 06:46:17,2.4507790186499695e-12,2.019041798201285e-12
2001-08-17 08:19:17,2.2731312642353356e-12,1.872689051262345e-12
2001-08-17 09:52:17,2.0550461718880985e-12,1.693022539649962e-12
2001-08-17 11:25:17,2.603258381472086e-12,2.144659899449165e-12
2001-08-17 12:58:32,2.834020598003796e-12,2.334770291727516e-12
2001-08-17 14:31:47,2.9528904673847554e-12,2.432699657451845e-12
2001-08-17 16:04:47,3.2105348049863877e-12,2.6449565287278737e-12
2001-08-17 17:37:47,4.281461998042908e-12,3.5272256966770023e-12
2001-08-17 19:11:02,3.7078999769093465e-12,3.054704230760672e-12
2001-08-17 20:44:17,4.4269974891790266e-12,3.647123181309232e-12
2001-08-17 22:17:17,5.327690518122632e-12,4.389147190388359e-12
2001-08-17 23:50:17,2.8707766100874547e-12,2.36505124491316e-12
2001-08-18 01:23:17,4.1284988320712405e-12,3.4012090206193937e-12
2001-08-18 02:56:17,4.009384652346953e-12,3.3030783830581685e-12
2001-08-18 04:29:32,3.242011935661513e-12,2.6708885454608756e-12
2001-08-18 06:02:47,3.335158520078008e-12,2.747626123947322e-12
2001-08-18 07:35:47,2.1204500185188544e-12,1.7469046314688258e-12
2001-08-18 09:08:47,3.05424413238208e-12,2.5161985304523223e-12
2001-08-18 10:42:02,2.933316953200575e-12,2.416574277327889e-12
2001-08-18 12:15:17,2.7848086242403373e-12,2.2942276596728557e-12
2001-08-18 13:48:17,2.3804985825254794e-12,1.9611421927895626e-12
2001-08-18 15:21:32,2.6041109825575406e-12,2.14536230354828e-12
2001-08-18 16:54:32,2.4552039019083946e-12,2.0226871796016212e-12
2001-08-18 18:27:32,1.894915541093309e-12,1.5611010427354358e-12
2001-08-18 20:00:47,2.641837976539428e-12,2.1764431872959624e-12
2001-08-18 21:33:47,2.0915269157116603e-12,1.7230767167294683e-12
2001-08-18 23:06:47,1.942375068797214e-12,1.6001999453406412e-12
2001-08-19 00:40:02,2.9186234997917362e-12,2.404469270566116e-12
2001-08-19 02:13:17,2.2719136534642044e-12,1.8716859387735622e-12
2001-08-19 03:46:17,2.375867514701164e-12,1.9573269489685397e-12
2001-08-19 05:19:17,1.8886106293050885e-12,1.555906824759226e-12
2001-08-19 06:52:17,2.5031652957887805e-12,2.062199538001783e-12
2001-08-19 08:25:17,2.221497029401987e-12,1.8301508715434327e-12
2001-08-19 09:58:32,2.5535314297213837e-12,2.1036930096081083e-12
2001-08-19 11:31:47,2.1786997608237543e-12,1.7948929092992898e-12
2001-08-19 13:04:47,2.496691553804152e-12,2.056866231506881e-12
2001-08-19 14:38:02,2.339741041133024e-12,1.9275646327414858e-12
2001-08-19 16:11:17,2.154111061627338e-12,1.774635835502277e-12
2001-08-19 17:44:17,1.8733398885778916e-12,1.5433262274948144e-12
2001-08-19 19:17:17,2.3223096495856554e-12,1.9132040119482094e-12
2001-08-19 20:50:17,2.209876148362422e-12,1.8205771627870505e-12
2001-08-19 22:23:32,2.0468210825396763e-12,1.6862464088515385e-12
2001-08-19 23:56:47,2.0189979528969196e-12,1.6633246924185146e-12
2001-08-20 01:29:47,2.095702875827573e-12,1.7265170260994635e-12
2001-08-20 03:02:47,2.2175000480664352e-12,1.8268580114684535e-12
2001-08-20 04:35:47,2.090731107086535e-12,1.722421100345751e-12
2001-08-20 06:08:47,2.258304310323645e-12,1.8604740618814587e-12
2001-08-20 07:42:02,2.333304233434614e-12,1.9222617540685514e-12
2001-08-20 09:15:17,2.1528409699462957e-12,1.7735894873117395e-12
2001-08-20 10:48:17,2.117645479603293e-12,1.7445941492702636e-12
2001-08-20 12:21:17,2.168263645650532e-12,1.7862952541923901e-12
2001-08-20 13:54:32,2.202960512271494e-12,1.8148798076920064e-12
2001-08-20 15:27:47,2.2558086492950817e-12,1.8584180446345073e-12
2001-08-20 17:00:47,2.265755568744047e-12,1.8666126823305103e-12
2001-08-20 18:33:47,2.1856407745666014e-12,1.8006111714363704e-12
2001-08-20 20:07:02,1.859997317418835e-12,1.5323341271623864e-12
