time,edr_raw,edr_debiased
2022-04-08 08:35:57,6.863933301268987e-13,6.341490693058886e-13
2022-04-08 10:10:12,6.263298144112679e-13,5.786572384291739e-13
2022-04-08 11:44:42,6.2669243883788e-13,5.78992261997368e-13
2022-04-08 13:19:42,6.029333059445359e-13,5.570415358604406e-13
2022-04-08 14:54:27,5.903030727312858e-13,5.453726424056948e-13
2022-04-08 16:29:27,5.581700281771125e-13,5.156853779705548e-13
2022-04-08 18:04:27,5.542933614791592e-13,5.121037805531356e-13
2022-04-08 19:38:57,5.427512168072077e-13,5.014401566799859e-13
2022-04-08 21:13:12,5.538845561799451e-13,5.11726091131276e-13
2022-04-08 22:47:27,5.53629442602641e-13,5.114903953129837e-13
2022-04-09 00:22:12,5.574904796837628e-13,5.150575527489341e-13
2022-04-09 01:57:27,5.851421529313256e-13,5.406045417493234e-13
2022-04-09 03:33:12,6.095636199627349e-13,5.631671890090068e-13
2022-04-09 05:08:42,6.706521218329931e-13,6.196059900666354e-13
2022-04-09 06:42:57,7.524875489528312e-13,6.95212581311776e-13
2022-04-09 08:17:12,7.104422373481626e-13,6.56367513837348e-13
2022-04-09 09:51:42,6.820814826329169e-13,6.301654145189287e-13
2022-04-09 11:25:57,6.682692464248428e-13,6.174044852500443e-13
2022-04-09 13:00:42,6.922070484336607e-13,6.395202812504425e-13
2022-04-09 14:35:27,6.790247500664493e-13,6.273413426244886e-13
2022-04-09 16:10:42,7.042173159136022e-13,6.506163971510904e-13
2022-04-09 18:00:12,6.734997329122704e-13,6.222368575829836e-13
2022-04-09 19:48:57,6.490034905308751e-13,5.99605126437255e-13
2022-04-09 21:23:27,6.354151095277799e-13,5.870510138195033e-13
2022-04-09 22:57:57,6.321888980875924e-13,5.840703627956936e-13
2022-04-10 00:32:27,5.659383815342826e-13,5.228624495347233e-13
2022-04-10 02:06:57,6.303113509413038e-13,5.823357235981118e-13
2022-04-10 03:41:12,5.869791297658463e-13,5.423016986108745e-13
2022-04-10 05:15:12,7.987250945807602e-13,7.379307943828715e-13
2022-04-10 06:49:42,7.93081432067681e-13,7.327166945758644e-13
2022-04-10 08:24:27,8.245481730558762e-13,7.617883705900591e-13
2022-04-10 09:58:57,7.79569388265238e-13,7.20233108815852e-13
2022-04-10 11:33:27,7.864232844118934e-13,7.265653263240222e-13
2022-04-10 13:07:42,7.590626403933042e-13,7.012872151034625e-13
2022-04-10 14:41:57,6.917727143548236e-13,6.391190061509141e-13
2022-04-10 16:16:12,6.527758891623457e-13,6.030903920658641e-13
2022-04-10 17:50:27,6.181933658985528e-13,5.711400889678881e-13
2022-04-10 19:24:57,6.026765091150904e-13,5.568042849093519e-13
2022-04-10 20:59:27,5.602579009050272e-13,5.176143339920118e-13
2022-04-10 22:33:57,5.518706996840118e-13,5.098655176574988e-13
2022-04-11 00:08:27,5.524355358956275e-13,5.103873618278671e-13
2022-04-11 01:42:57,5.226663824979422e-13,4.828840629282751e-13
2022-04-11 03:17:12,5.226770831478845e-13,4.828939491070942e-13
2022-04-11 04:51:12,5.297518923440896e-13,4.894302650506958e-13
2022-04-11 06:25:27,5.429225581991615e-13,5.015984565635541e-13
2022-04-11 08:00:12,5.400111097002896e-13,4.989086105600238e-13
2022-04-11 09:34:57,5.480739395585517e-13,5.063577447898734e-13
2022-04-11 11:09:12,5.301097987040121e-13,4.897609296639454e-13
2022-04-11 12:43:27,5.121998471705311e-13,4.732141792837066e-13
2022-04-11 14:17:42,5.019012078347767e-13,4.636994123662043e-13
2022-04-11 15:51:42,4.71393808145579e-13,4.3551405818120556e-13
2022-04-11 17:25:57,4.678337485164285e-13,4.3222496954731415e-13
2022-04-11 19:00:27,4.3982576899562477e-13,4.063487942310819e-13
2022-04-11 20:34:57,4.119640691420051e-13,3.8060776462610833e-13
2022-04-11 22:09:27,3.960528760448345e-13,3.659076388363492e-13
2022-04-11 23:43:57,3.8628589258106234e-13,3.568840612436998e-13
2022-04-12 01:18:27,3.9472791039864795e-13,3.6468352185485684e-13
2022-04-12 02:52:42,3.74299318147827e-13,3.458098350130972e-13
2022-04-12 04:26:42,3.740298289891959e-13,3.45560857798965e-13
2022-04-12 06:00:57,3.86402554553233e-13,3.569918435863134e-13
2022-04-12 07:35:27,4.099569087437557e-13,3.78753377582076e-13
2022-04-12 09:10:12,3.9424165345453155e-13,3.6423427595601056e-13
2022-04-12 10:44:57,3.987047816979959e-13,3.6835769688328336e-13
2022-04-12 12:19:12,4.143044393098414e-13,3.8276999945360913e-13
2022-04-12 13:53:12,4.740806893276154e-13,4.379964296235517e-13
2022-04-12 15:27:12,4.66715469808837e-13,4.3119180769897177e-13
2022-04-12 17:01:27,4.930900200258038e-13,4.555588808323292e-13
2022-04-12 18:35:42,4.516161788272535e-13,4.1724178676654265e-13
2022-04-12 20:09:57,4.63146299958271e-13,4.278943022606357e-13
2022-04-12 21:44:42,4.5128591844995725e-13,4.169366638848091e-13
2022-04-12 23:19:27,4.1379715556592303e-13,3.8230132719244313e-13
2022-04-13 00:53:42,4.395663340965162e-13,4.061091060048214e-13
2022-04-13 02:27:57,4.2373691572942853e-13,3.9148453072917535e-13
2022-04-13 04:01:57,4.700333539843372e-13,4.3425715386363986e-13
2022-04-13 05:35:42,5.077164235495409e-13,4.690720077447884e-13
2022-04-13 07:10:12,5.363552109663013e-13,4.955309775355208e-13
2022-04-13 08:45:12,4.789573788194808e-13,4.425019339267309e-13
2022-04-13 10:19:57,5.027055457416681e-13,4.644425287583295e-13
2022-04-13 11:54:12,4.855187906313389e-13,4.485639293034243e-13
2022-04-13 13:28:12,4.625452537953027e-13,4.2733900422942415e-13
2022-04-13 15:02:12,4.391937704495515e-13,4.0576489973181433e-13
