time,edr_raw,edr_debiased
2001-09-24 12:03:32,5.332805540497468e-12,4.105460460587332e-12
2001-09-24 13:36:47,5.576445310833893e-12,4.2930265430455836e-12
2001-09-24 15:09:47,5.8560917810800955e-12,4.508312384207439e-12
2001-09-24 16:42:47,5.746365750756822e-12,4.4238397973920225e-12
2001-09-24 18:15:47,5.12070785530528e-12,3.942177053058956e-12
2001-09-24 19:49:02,5.4601184615672455e-12,4.203472315623975e-12
2001-09-24 21:22:17,5.410078758338989e-12,4.164949249012405e-12
2001-09-24 22:55:17,5.2313936076407974e-12,4.027388481886237e-12
2001-09-25 00:28:17,5.2463991682101666e-12,4.038940513014817e-12
2001-09-25 02:01:32,5.1146631899368545e-12,3.937523567294456e-12
2001-09-25 03:34:47,5.188955997541889e-12,3.9947178868345685e-12
2001-09-25 05:07:47,5.162063934691317e-12,3.974015031667951e-12
2001-09-25 06:40:47,5.387182236968822e-12,4.147322361540817e-12
2001-09-25 08:13:47,5.362292660724439e-12,4.128161120731246e-12
2001-09-25 09:47:02,5.197393160619423e-12,4.001213237012124e-12
2001-09-25 11:20:17,5.479618351618415e-12,4.218484306401237e-12
2001-09-25 12:53:17,5.2760191690516266e-12,4.0617434713026675e-12
2001-09-25 14:26:17,5.393054603812398e-12,4.151843203282239e-12
2001-09-25 15:59:32,5.421450803612711e-12,4.1737040183121165e-12
2001-09-25 17:32:47,4.906054184353284e-12,3.776925919838161e-12
2001-09-25 19:05:47,5.321394848371631e-12,4.096675939007685e-12
2001-09-25 20:38:47,5.707366986904217e-12,4.393816598197379e-12
2001-09-25 22:11:47,6.0213133595927524e-12,4.635508219995642e-12
2001-09-25 23:45:02,6.978116966615608e-12,5.372103497537534e-12
2001-09-26 01:18:17,7.034707325291034e-12,5.415669586386659e-12
2001-09-26 02:51:17,7.0205045070734646e-12,5.4047355464749574e-12
2001-09-26 04:24:17,7.044432659482131e-12,5.423156635123828e-12
2001-09-26 05:57:17,6.700867945117271e-12,5.15866333234603e-12
2001-09-26 07:30:32,6.477593185806505e-12,4.986775254065944e-12
2001-09-26 09:03:47,6.8161242323738925e-12,5.2473933875810866e-12
2001-09-26 10:36:47,6.663469953386633e-12,5.129872487604074e-12
2001-09-26 12:09:47,6.248869795886662e-12,4.8106925473937225e-12
2001-09-26 13:43:02,6.314989235959518e-12,4.8615945997625704e-12
2001-09-26 15:16:17,6.2082899633683506e-12,4.779452162452621e-12
2001-09-26 16:49:17,6.266876430836491e-12,4.824554955698949e-12
2001-09-26 18:22:17,6.0474177732010276e-12,4.655604703376057e-12
2001-09-26 19:55:17,5.793440613577534e-12,4.460080381551777e-12
2001-09-26 21:28:17,5.765799918178813e-12,4.43880119160179e-12
2001-09-26 23:01:32,5.8441472320679715e-12,4.4991168728923476e-12
2001-09-27 00:34:47,5.377363469706075e-12,4.1397633833514195e-12
2001-09-27 02:07:47,5.285219658501175e-12,4.068826468304213e-12
2001-09-27 03:40:47,5.294909709368684e-12,4.0762863541739555e-12
2001-09-27 05:14:02,5.20090352751038e-12,4.003915693038982e-12
2001-09-27 06:47:17,5.022212256959515e-12,3.8663502145441e-12
2001-09-27 08:20:17,5.143548789998273e-12,3.959761147125921e-12
2001-09-27 09:53:17,5.5391552879440895e-12,4.264318818118077e-12
2001-09-27 11:26:17,4.919073480923604e-12,3.786948825584153e-12
2001-09-27 12:59:32,5.310908581294364e-12,4.088603086071656e-12
2001-09-27 14:32:47,5.246657412696108e-12,4.0391393225379e-12
2001-09-27 16:05:47,5.837279307521865e-12,4.4938296010321205e-12
2001-09-27 17:38:47,6.176812421139263e-12,4.7552191758873664e-12
2001-09-27 19:11:47,6.0919044816410746e-12,4.68985279682993e-12
2001-09-27 20:44:47,6.051772911924741e-12,4.658957507016617e-12
2001-09-27 22:18:02,6.170787291153493e-12,4.750580729437625e-12
2001-09-27 23:51:17,6.2456846596030834e-12,4.808240470156982e-12
2001-09-28 01:24:17,6.1298937072294244e-12,4.719098802970021e-12
2001-09-28 02:57:17,5.892147153182005e-12,4.536069613199205e-12
2001-09-28 04:30:32,5.79020636518906e-12,4.4575904953600225e-12
2001-09-28 06:03:47,5.476262447133995e-12,4.2159007632613885e-12
2001-09-28 07:36:47,5.7991999357474855e-12,4.464514195848766e-12
2001-09-28 09:09:47,6.114423368068938e-12,4.7071889620330255e-12
2001-09-28 10:42:47,5.884311797108337e-12,4.53003756415658e-12
2001-09-28 12:16:02,6.340015844011065e-12,4.880861334511848e-12
2001-09-28 13:49:17,6.0955274620016e-12,4.692641948338769e-12
2001-09-28 15:22:17,6.650278510928616e-12,5.119717055342718e-12
2001-09-28 16:55:17,6.046548750218937e-12,4.654935686014516e-12
2001-09-28 18:28:17,6.266108100277727e-12,4.823963456401683e-12
2001-09-28 20:01:17,6.0270590535906386e-12,4.639931542644072e-12
2001-09-28 21:34:32,6.0389699181193275e-12,4.649101121958863e-12
2001-09-28 23:07:47,5.7719169231896875e-12,4.443510368041593e-12
