time,acc_effective,pod_raw,pod_debiased
2003-05-28 01:05:02,2.728527112734197e-12,3.4796403161494818e-12,2.7502511826777093e-12
2003-05-28 02:37:47,2.823544488629894e-12,3.671582488008109e-12,2.901959157410015e-12
2003-05-28 04:10:32,2.8359900361782606e-12,3.602919349042819e-12,2.847688927734489e-12
2003-05-28 05:43:02,2.833302180912537e-12,3.6046901102916884e-12,2.849088508661385e-12
2003-05-28 07:15:32,2.8465535277776097e-12,3.691423692629205e-12,2.917641323242403e-12
2003-05-28 08:48:02,2.810988988233949e-12,3.592089713525356e-12,2.839129359737866e-12
2003-05-28 10:20:32,2.7852167887231827e-12,4.071385320790073e-12,3.2179568220517586e-12
2003-05-28 11:53:02,2.8757514434286944e-12,3.702961485421212e-12,2.9267606072455326e-12
2003-05-28 13:25:32,2.6864422283805217e-12,3.4618871504868466e-12,2.7362193689200257e-12
2003-05-28 14:58:17,2.6194078391755816e-12,3.4712602390131755e-12,2.743627705834976e-12
2003-05-28 16:31:02,2.7279397367760736e-12,3.5147428861296607e-12,2.7779956837846064e-12
2003-05-28 18:03:32,2.629265867810105e-12,3.3820735201718816e-12,2.6731359720100722e-12
2003-05-28 19:36:17,2.4392837970660674e-12,3.0875417011343576e-12,2.440342806611718e-12
2003-05-28 21:08:47,2.2787861350542693e-12,2.974895341234863e-12,2.351308953572347e-12
2003-05-28 22:41:02,2.323082296278843e-12,2.8618740839526373e-12,2.2619787877314907e-12
2003-05-29 00:13:32,2.3032664893423927e-12,2.6147089371892245e-12,2.066623470675329e-12
2003-05-29 01:46:17,2.3549584161092323e-12,2.966630403254608e-12,2.344776480848239e-12
2003-05-29 03:19:02,2.3575785341983325e-12,2.920698054855687e-12,2.308472298797869e-12
2003-05-29 04:51:32,2.3588911491066358e-12,3.0807203820531385e-12,2.434951346815292e-12
2003-05-29 06:24:17,2.432462381301837e-12,3.0111825127339717e-12,2.3799897444771635e-12
2003-05-29 07:56:47,2.416232088767016e-12,3.172810060991906e-12,2.5077375331456136e-12
2003-05-29 09:29:02,2.352739516767506e-12,2.9201629725633477e-12,2.3080493784458697e-12
2003-05-29 11:01:32,2.3398506782986654e-12,2.8650318689134716e-12,2.264474649669539e-12
2003-05-29 12:34:02,2.238333521641645e-12,2.8490942134424854e-12,2.2518777856762245e-12
2003-05-29 14:06:47,2.4940443516987485e-12,3.1898599469709727e-12,2.521213486065465e-12
2003-05-29 15:39:32,2.5666138117938223e-12,3.485022068185488e-12,2.754504832065897e-12
2003-05-29 17:12:02,2.71821606959133e-12,3.4656225086847774e-12,2.7391717353625876e-12
2003-05-29 18:44:32,3.019587609866414e-12,3.906631817786143e-12,3.087738329530019e-12
2003-05-29 20:17:02,3.847399197395731e-12,4.967669134143041e-12,3.926364988909828e-12
2003-05-29 21:49:32,3.841190513982497e-12,4.961450222081393e-12,3.9214496618361825e-12
2003-05-29 23:22:02,4.352334237877899e-12,5.372688104592112e-12,4.246485404032818e-12
2003-05-30 00:54:47,4.146474235402551e-12,5.44087660067726e-12,4.30038048368597e-12
2003-05-30 02:27:32,4.508673538648554e-12,5.969477993924901e-12,4.718178438318576e-12
2003-05-30 04:00:02,4.29672986344459e-12,5.413229782943715e-12,4.278528888043723e-12
2003-05-30 05:32:47,3.97769289701757e-12,5.080180913917713e-12,4.015292472004656e-12
2003-05-30 07:05:32,3.5740145312904786e-12,4.533943672949214e-12,3.5835554298098367e-12
2003-05-30 08:37:47,3.3744064291416537e-12,4.357045729610516e-12,3.4437381689215398e-12
2003-05-30 10:10:02,3.130285888830542e-12,3.932083435131925e-12,3.1078548744445683e-12
2003-05-30 11:42:32,2.9422420581142837e-12,3.8183494160393114e-12,3.01796135324687e-12
2003-05-30 13:15:17,2.7108403177974367e-12,3.480534859610339e-12,2.7509582152982248e-12
2003-05-30 14:48:02,2.5875817185207863e-12,3.2570033530444607e-12,2.5742825435498213e-12
