time,acc_effective,pod_raw,pod_debiased
2021-11-02 14:20:27,3.008831581923081e-13,2.5903789273352667e-13,2.1387208969517217e-13
2021-11-02 15:54:57,2.9317495208759266e-13,3.545577607439203e-13,2.9273712972159543e-13
2021-11-02 17:29:27,3.0765317838099107e-13,3.555411555373904e-13,2.93549059965682e-13
2021-11-02 19:03:57,3.153157971242277e-13,3.615112276696074e-13,2.9847819133358437e-13
2021-11-02 20:38:27,2.977132811234794e-13,3.0334465924573643e-13,2.5045353591373893e-13
2021-11-02 22:12:57,2.819425692357176e-13,3.029002023091391e-13,2.500865744132168e-13
2021-11-02 23:47:27,2.733684909734429e-13,4.411391110600801e-13,3.6422217048277746e-13
2021-11-03 01:21:57,2.6389065281640647e-13,2.8436732256530893e-13,2.347850844379269e-13
2021-11-03 02:56:27,4.703742441059341e-13,1.941817805016098e-12,1.6032427819095438e-12
2021-11-03 04:30:57,,2.153020383888906e-11,1.777620114954805e-11
2021-11-03 06:05:27,1.7079576981589714e-13,2.5803440355746756e-13,2.1304356872163636e-13
2021-11-03 07:39:57,2.3488667122469626e-13,2.5864548780506696e-13,2.1354810442347797e-13
2021-11-03 09:14:27,2.3084658257842593e-13,2.478759379858726e-13,2.0465633148400004e-13
2021-11-03 10:48:57,2.2434426904770742e-13,2.308462572390205e-13,1.9059594298355153e-13
2021-11-03 12:23:27,2.2357409785046853e-13,2.5532086137210456e-13,2.1080315929143535e-13
2021-11-03 13:57:57,2.2230456327148595e-13,2.4288558545170427e-13,2.0053609597121306e-13
2021-11-03 15:32:27,3.3529997654339607e-13,4.3866450575856444e-13,3.6217903694188525e-13
2021-11-03 17:06:57,1.3519950778876257e-13,2.2084158222777565e-13,1.82335681410249e-13
2021-11-03 18:41:27,2.2389655763130526e-13,2.6102105608417956e-13,2.155094690203944e-13
2021-11-03 20:15:57,2.4896054978136996e-13,3.1082437975086044e-13,2.5662909362031866e-13
2021-11-03 21:50:27,3.8390141533478024e-13,4.025510589332566e-13,3.323623245793838e-13
2021-11-03 23:24:57,3.7319571611923735e-13,5.219955652179592e-13,4.3098050700876523e-13
2021-11-04 00:59:27,3.7435058739223413e-13,4.1118955922152163e-13,3.394946174226712e-13
2021-11-04 02:33:57,4.565157072879313e-13,5.070529511748215e-13,4.1864328461558496e-13
2021-11-04 04:08:27,4.562079553833639e-13,4.794682512504567e-13,3.958682482910458e-13
2021-11-04 05:42:57,4.5340990629525404e-13,5.420568883546471e-13,4.475439412461927e-13
2021-11-04 07:17:27,5.02970539003814e-13,5.628735006160569e-13,4.647309725246695e-13
2021-11-04 08:51:57,5.95397650559578e-13,6.672219538987774e-13,5.508852471928636e-13
2021-11-04 10:26:27,7.056767857198101e-13,7.375794086422377e-13,6.089751880614638e-13
2021-11-04 12:00:57,6.77107476323641e-13,7.508474599781802e-13,6.199298242170319e-13
2021-11-04 13:35:27,6.798403880168179e-13,7.593653498368006e-13,6.269625362447293e-13
2021-11-04 15:09:57,6.103323962540261e-13,6.635826347160447e-13,5.478804790855217e-13
2021-11-04 16:44:42,5.854793943081292e-13,6.612971302551704e-13,5.459934747947724e-13
2021-11-04 18:19:12,5.53110120431535e-13,6.261843191425996e-13,5.170029274718656e-13
2021-11-04 19:53:27,4.682672487757494e-13,5.163118618450777e-13,4.2628781319189523e-13
2021-11-04 21:27:57,4.1560816850895954e-13,4.315910769934947e-13,3.563389300164802e-13
2021-11-04 23:02:27,3.880906437841761e-13,4.742005079465361e-13,3.9151898781606877e-13
2021-11-05 00:36:57,3.6281230936692804e-13,4.4183253771242663e-13,3.6479469138164164e-13
2021-11-05 02:11:27,3.356581845033056e-13,3.610037665035451e-13,2.9805921101035984e-13
2021-11-05 03:46:12,3.078298198843375e-13,3.290169447145811e-13,2.716496060428339e-13
2021-11-05 05:20:57,2.9037376132154026e-13,3.337880127025705e-13,2.755887914257181e-13
2021-11-05 06:55:27,2.8021848519906154e-13,3.1900973863933847e-13,2.6338725472142297e-13
2021-11-05 08:29:42,2.7773178536567115e-13,3.0846649687575755e-13,2.546823308033687e-13
2021-11-05 10:03:57,2.6358815229075507e-13,2.984299931663051e-13,2.4639579017827913e-13
2021-11-05 11:38:27,2.6065573962630955e-13,3.234262936473899e-13,2.670337399474178e-13
2021-11-05 13:13:12,2.6660967263008006e-13,3.1210201509028575e-13,2.576839606786775e-13
2021-11-05 14:47:57,2.649698275890539e-13,3.0390501306379166e-13,2.509161865351267e-13
2021-11-05 16:22:27,2.66519983688319e-13,2.9595544090240744e-13,2.4435270042737486e-13
2021-11-05 17:56:57,2.8022992689609195e-13,3.2773389114729946e-13,2.7059026547790873e-13
2021-11-05 19:31:27,2.6660061834728517e-13,3.362140121198986e-13,2.7759179399614506e-13
2021-11-05 21:05:57,2.5901816530003055e-13,3.191296885232205e-13,2.634862901638975e-13
2021-11-05 22:40:27,2.511364446573001e-13,2.922816569050321e-13,2.413194767846254e-13
2021-11-06 00:14:57,2.457219472201286e-13,4.3050950397456863e-13,3.554459398856749e-13
2021-11-06 01:49:27,2.4790437606981185e-13,3.2735456129098867e-13,2.702770755110014e-13
2021-11-06 03:23:57,2.455782470895419e-13,3.049978855902007e-13,2.518185059932069e-13
2021-11-06 04:58:27,2.4037518911392165e-13,2.8120820130484696e-13,2.321767870245809e-13
2021-11-06 06:32:57,2.3408223561578397e-13,2.9505303146268394e-13,2.436076349444926e-13
2021-11-06 08:07:27,2.333725270102611e-13,2.9270137973112993e-13,2.4166601680995924e-13
2021-11-06 09:41:57,2.3725365118665805e-13,2.783104297430793e-13,2.297842704207957e-13
2021-11-06 11:16:27,2.419727813605391e-13,3.335223303541626e-13,2.753694334065129e-13
2021-11-06 12:50:57,2.3170245736170905e-13,3.0093646229168494e-13,2.484652317721114e-13
2021-11-06 14:25:27,2.290867257808254e-13,2.705408473393723e-13,2.2336939108710284e-13
2021-11-06 15:59:57,2.339449262407193e-13,2.7421364223206166e-13,2.2640179808529166e-13
2021-11-06 17:34:27,2.485233797835309e-13,2.898725717394048e-13,2.393304392998417e-13
2021-11-06 19:08:57,2.6006212886873945e-13,3.515214458855401e-13,2.90230226206895e-13
2021-11-06 20:43:27,2.587373906041131e-13,3.2162474420366586e-13,2.655463083591181e-13
2021-11-06 22:17:57,2.6376857051258116e-13,3.0860769003421883e-13,2.5479890554667016e-13
2021-11-06 23:52:27,2.425789422258883e-13,4.2579428762632205e-13,3.5155286786010163e-13
2021-11-07 01:26:57,2.388397911762536e-13,2.8576634545442147e-13,2.359401739333996e-13
2021-11-07 03:01:27,2.3387778274066594e-13,2.926190091811172e-13,2.4159800837507477e-13
2021-11-07 04:35:57,2.2332782494806895e-13,2.594107017098291e-13,2.141798957616033e-13
2021-11-07 06:10:27,2.1457111155875747e-13,2.927813485180155e-13,2.4173204225272796e-13
2021-11-07 07:44:57,2.1195701710888985e-13,2.717876216303688e-13,2.243987780242022e-13
2021-11-07 09:19:27,2.0106378713357034e-13,2.697786984280029e-13,2.2274013033064218e-13
2021-11-07 10:53:57,1.9852549547644013e-13,2.2715977403517142e-13,1.8755223436581493e-13
