time,acc_effective,pod_raw,pod_debiased
2002-09-06 01:12:32,3.440374773886253e-12,4.318314635908658e-12,3.328238147790442e-12
2002-09-06 02:45:17,3.4178763786629948e-12,4.382074244002091e-12,3.377379347039829e-12
2002-09-06 04:18:02,3.4577453458271626e-12,4.356678353059988e-12,3.35780606900034e-12
2002-09-06 05:50:47,3.476667825806053e-12,4.528540728658749e-12,3.4902649014071466e-12
2002-09-06 07:23:32,3.5513039057593866e-12,4.562003214067568e-12,3.51605531499383e-12
2002-09-06 08:56:02,3.52579857487214e-12,4.5044784223957205e-12,3.4717194519944324e-12
2002-09-06 10:28:32,3.601111645334218e-12,5.037132022150421e-12,3.882249526741629e-12
2002-09-06 12:01:17,3.659079902232261e-12,4.618927333044379e-12,3.5599282238209376e-12
2002-09-06 13:34:02,3.811058693986716e-12,4.863053816275207e-12,3.748082895928056e-12
2002-09-06 15:06:32,3.757385899122693e-12,4.921165920347708e-12,3.792871415971077e-12
2002-09-06 16:39:17,3.6525895643323885e-12,4.578985253318897e-12,3.529143817251993e-12
2002-09-06 18:12:02,3.641367115034985e-12,4.727465065806592e-12,3.643581096089674e-12
2002-09-06 19:44:32,3.639123598280573e-12,4.798257633013453e-12,3.698142781057846e-12
2002-09-06 21:17:17,3.585969203825463e-12,4.572323847823305e-12,3.5240096976341284e-12
2002-09-06 22:50:02,3.5892437431832865e-12,4.629738680291225e-12,3.568260812196215e-12
2002-09-07 00:22:32,3.61023843309612e-12,4.991882109185924e-12,3.847374234130871e-12
2002-09-07 01:55:02,3.7234307031804255e-12,4.914480468566017e-12,3.78771876325096e-12
2002-09-07 03:27:47,3.783274213962852e-12,4.812833509122349e-12,3.709376790386323e-12
2002-09-07 05:00:32,3.9492145159246934e-12,5.047097180185914e-12,3.8899299349376175e-12
2002-09-07 06:33:17,4.116847614610866e-12,5.210411530462234e-12,4.015800580432369e-12
2002-09-07 08:06:02,4.141977722295438e-12,5.36398647344134e-12,4.134164809735511e-12
2002-09-07 09:38:32,4.156214826865573e-12,5.359962851703033e-12,4.131063699119264e-12
2002-09-07 11:11:02,4.162149989262301e-12,5.5115145336386785e-12,4.247868548165165e-12
2002-09-07 12:43:32,4.180815174375656e-12,5.3123971571959485e-12,4.094403573044102e-12
2002-09-07 14:16:17,4.210791717342456e-12,5.52657771216319e-12,4.259478134223432e-12
2002-09-07 15:49:02,4.287057373474164e-12,5.5071545722669196e-12,4.2445082117877e-12
2002-09-07 17:21:32,4.913098107917478e-12,6.3718520919308525e-12,4.910953228858512e-12
2002-09-07 18:54:17,5.846041345769127e-12,7.474701159068063e-12,5.7609478786181655e-12
2002-09-07 20:27:02,5.565592948988917e-12,7.482161412873764e-12,5.766697691543297e-12
2002-09-07 21:59:32,5.686829016328551e-12,7.685151191610998e-12,5.923147228496188e-12
2002-09-07 23:32:02,6.488878794885017e-12,1.0400486801968523e-11,8.015927473663325e-12
2002-09-08 01:04:47,6.3103092008067026e-12,8.7708662509709e-12,6.759936249876015e-12
2002-09-08 02:37:32,6.505934234502999e-12,8.44990162622527e-12,6.512560410402274e-12
2002-09-08 04:10:17,6.1166122674965686e-12,7.935730908401211e-12,6.1162755766597825e-12
2002-09-08 05:43:02,6.236595860320462e-12,8.090200733582493e-12,6.235329515105072e-12
2002-09-08 07:15:32,5.942340048865445e-12,7.831488946576872e-12,6.035933567520544e-12
2002-09-08 08:48:02,5.500316242202359e-12,7.0149101946448636e-12,5.406574944539302e-12
